"L120.RsrcCurves_EJ_R_offshore_wind_EUR.GCAM_region_ID","L120.RsrcCurves_EJ_R_offshore_wind_EUR.resource","L120.RsrcCurves_EJ_R_offshore_wind_EUR.subresource","L120.RsrcCurves_EJ_R_offshore_wind_EUR.maxSubResource","L120.RsrcCurves_EJ_R_offshore_wind_EUR.mid.price","L120.RsrcCurves_EJ_R_offshore_wind_EUR.curve.exponent"
28,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
28,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
29,"fixed offshore wind resource","fixed offshore wind resource",0.16739,0.0994,1.00008
29,"floating offshore wind resource","floating offshore wind resource",1e-06,10,1
30,"fixed offshore wind resource","fixed offshore wind resource",0.14125,0.89099,1.37798
30,"floating offshore wind resource","floating offshore wind resource",0.36477,0.69987,1.00008
31,"fixed offshore wind resource","fixed offshore wind resource",0.20165,34.75884,8.99992
31,"floating offshore wind resource","floating offshore wind resource",0.89336,2.30301,3.28398
32,"floating offshore wind resource","floating offshore wind resource",0.36521,14.99436,8.99993
32,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,1
33,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
33,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
34,"fixed offshore wind resource","fixed offshore wind resource",3.5013,0.70748,1.54653
34,"floating offshore wind resource","floating offshore wind resource",0.57919,1.39007,2.84667
35,"fixed offshore wind resource","fixed offshore wind resource",0.32462,1.68329,2.53623
35,"floating offshore wind resource","floating offshore wind resource",0.4481,0.34989,1.00008
36,"fixed offshore wind resource","fixed offshore wind resource",0.73848,3.38892,4.18794
36,"floating offshore wind resource","floating offshore wind resource",1.13914,1.27406,3.30919
37,"fixed offshore wind resource","fixed offshore wind resource",1.57243,2.20756,1.97328
37,"floating offshore wind resource","floating offshore wind resource",5.87591,0.64423,1.17312
38,"fixed offshore wind resource","fixed offshore wind resource",1.79415,0.73902,1.63764
38,"floating offshore wind resource","floating offshore wind resource",1e-06,10,1
39,"fixed offshore wind resource","fixed offshore wind resource",0.05691,5.77905,8.99992
39,"floating offshore wind resource","floating offshore wind resource",4.18459,1.49253,1.51917
40,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
40,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
41,"fixed offshore wind resource","fixed offshore wind resource",0.41678,1.82252,3.46812
41,"floating offshore wind resource","floating offshore wind resource",9.72301,0.56833,2.60908
42,"fixed offshore wind resource","fixed offshore wind resource",0.3781,36.2695,8.99992
42,"floating offshore wind resource","floating offshore wind resource",4.28866,1.60812,1.29186
43,"fixed offshore wind resource","fixed offshore wind resource",0.6302,1.66506,2.19085
43,"floating offshore wind resource","floating offshore wind resource",0.67018,0.56496,3.50003
44,"fixed offshore wind resource","fixed offshore wind resource",0.15866,1.34511,7.72201
44,"floating offshore wind resource","floating offshore wind resource",0.1232,0.50979,7.20456
45,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
45,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
46,"fixed offshore wind resource","fixed offshore wind resource",0.00688,0.64331,8.99995
46,"floating offshore wind resource","floating offshore wind resource",1.42115,0.69405,8.99992
47,"fixed offshore wind resource","fixed offshore wind resource",3.0461,1.22997,3.45208
47,"floating offshore wind resource","floating offshore wind resource",1e-06,10,1
48,"fixed offshore wind resource","fixed offshore wind resource",0.65632,1.92222,3.17087
48,"floating offshore wind resource","floating offshore wind resource",0.79774,0.36852,1.36895
49,"fixed offshore wind resource","fixed offshore wind resource",0.07077,3.52505,8.99992
49,"floating offshore wind resource","floating offshore wind resource",1.30633,3.09777,4.15376
50,"fixed offshore wind resource","fixed offshore wind resource",0.37519,2.54322,8.99993
50,"floating offshore wind resource","floating offshore wind resource",0.65169,1.3648,8.99995
51,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
51,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
52,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
52,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
53,"fixed offshore wind resource","fixed offshore wind resource",0.29961,3.50594,1.30679
53,"floating offshore wind resource","floating offshore wind resource",3.7663,7.67464,2.48757
54,"fixed offshore wind resource","fixed offshore wind resource",2.24395,2.18985,2.33093
54,"floating offshore wind resource","floating offshore wind resource",3.77628,0.7714,1.46145
55,"fixed offshore wind resource","fixed offshore wind resource",0.00285,0.4335,1.00008
55,"floating offshore wind resource","floating offshore wind resource",0.25515,2.37038,8.99993
57,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
57,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
58,"fixed offshore wind resource","fixed offshore wind resource",0.21607,0.68432,3.13237
58,"floating offshore wind resource","floating offshore wind resource",18.67483,1.55215,4.03359
59,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
59,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
60,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,8.99992
60,"floating offshore wind resource","floating offshore wind resource",1e-06,10,8.99992
61,"fixed offshore wind resource","fixed offshore wind resource",1.81009,1.67178,3.49624
61,"floating offshore wind resource","floating offshore wind resource",38.97775,0.78492,2.32154
62,"floating offshore wind resource","floating offshore wind resource",0.22055,0.05576,1.00008
62,"fixed offshore wind resource","fixed offshore wind resource",1e-06,10,1
64,"fixed offshore wind resource","fixed offshore wind resource",0.0556,7.16527,1.51392
64,"floating offshore wind resource","floating offshore wind resource",1.19459,10.80741,3.14228
65,"fixed offshore wind resource","fixed offshore wind resource",6.82182,1.93536,4.07547
65,"floating offshore wind resource","floating offshore wind resource",21.68034,0.80463,2.56349
66,"fixed offshore wind resource","fixed offshore wind resource",1.93119,1.34344,2.08098
66,"floating offshore wind resource","floating offshore wind resource",0.64821,1.9619,2.72578
