"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate"
"1","elect_td_bld","rooftop_pv","rooftop_pv",1975,"capital",696,0.1
"2","elect_td_bld","rooftop_pv","rooftop_pv",1990,"capital",696,0.1
"3","elect_td_bld","rooftop_pv","rooftop_pv",2005,"capital",696,0.1
"4","elect_td_bld","rooftop_pv","rooftop_pv",2010,"capital",696,0.1
"5","elect_td_bld","rooftop_pv","rooftop_pv",2015,"capital",696,0.1
"6","elect_td_bld","rooftop_pv","rooftop_pv",2021,"capital",637,0.1
"7","elect_td_bld","rooftop_pv","rooftop_pv",2025,"capital",459,0.1
"8","elect_td_bld","rooftop_pv","rooftop_pv",2030,"capital",332,0.1
"9","elect_td_bld","rooftop_pv","rooftop_pv",2035,"capital",266,0.1
"10","elect_td_bld","rooftop_pv","rooftop_pv",2040,"capital",230,0.1
"11","elect_td_bld","rooftop_pv","rooftop_pv",2045,"capital",212,0.1
"12","elect_td_bld","rooftop_pv","rooftop_pv",2050,"capital",202,0.1
"13","elect_td_bld","rooftop_pv","rooftop_pv",2055,"capital",197,0.1
"14","elect_td_bld","rooftop_pv","rooftop_pv",2060,"capital",194,0.1
"15","elect_td_bld","rooftop_pv","rooftop_pv",2065,"capital",193,0.1
"16","elect_td_bld","rooftop_pv","rooftop_pv",2070,"capital",192,0.1
"17","elect_td_bld","rooftop_pv","rooftop_pv",2075,"capital",192,0.1
"18","elect_td_bld","rooftop_pv","rooftop_pv",2080,"capital",191,0.1
"19","elect_td_bld","rooftop_pv","rooftop_pv",2085,"capital",191,0.1
"20","elect_td_bld","rooftop_pv","rooftop_pv",2090,"capital",191,0.1
"21","elect_td_bld","rooftop_pv","rooftop_pv",2095,"capital",191,0.1
"22","elect_td_bld","rooftop_pv","rooftop_pv",2100,"capital",191,0.1
"23","base load generation","solar","CSP_base",1975,"capital",968,0.13
"24","intermediate generation","solar","CSP_int",1975,"capital",968,0.13
"25","subpeak generation","solar","CSP_subpeak",1975,"capital",968,0.13
"26","peak generation","solar","CSP_peak",1975,"capital",968,0.13
"27","base load generation","solar","CSP_base",1990,"capital",968,0.13
"28","intermediate generation","solar","CSP_int",1990,"capital",968,0.13
"29","subpeak generation","solar","CSP_subpeak",1990,"capital",968,0.13
"30","peak generation","solar","CSP_peak",1990,"capital",968,0.13
"31","base load generation","solar","CSP_base",2005,"capital",968,0.13
"32","intermediate generation","solar","CSP_int",2005,"capital",968,0.13
"33","subpeak generation","solar","CSP_subpeak",2005,"capital",968,0.13
"34","peak generation","solar","CSP_peak",2005,"capital",968,0.13
"35","base load generation","solar","CSP_base",2010,"capital",968,0.13
"36","intermediate generation","solar","CSP_int",2010,"capital",968,0.13
"37","subpeak generation","solar","CSP_subpeak",2010,"capital",968,0.13
"38","peak generation","solar","CSP_peak",2010,"capital",968,0.13
"39","base load generation","solar","CSP_base",2015,"capital",968,0.13
"40","intermediate generation","solar","CSP_int",2015,"capital",968,0.13
"41","subpeak generation","solar","CSP_subpeak",2015,"capital",968,0.13
"42","peak generation","solar","CSP_peak",2015,"capital",968,0.13
"43","base load generation","solar","CSP_base",2021,"capital",925,0.13
"44","intermediate generation","solar","CSP_int",2021,"capital",925,0.13
"45","subpeak generation","solar","CSP_subpeak",2021,"capital",925,0.13
"46","peak generation","solar","CSP_peak",2021,"capital",925,0.13
"47","base load generation","solar","CSP_base",2025,"capital",783,0.13
"48","intermediate generation","solar","CSP_int",2025,"capital",783,0.13
"49","subpeak generation","solar","CSP_subpeak",2025,"capital",783,0.13
"50","peak generation","solar","CSP_peak",2025,"capital",783,0.13
"51","base load generation","solar","CSP_base",2030,"capital",666,0.13
"52","intermediate generation","solar","CSP_int",2030,"capital",666,0.13
"53","subpeak generation","solar","CSP_subpeak",2030,"capital",666,0.13
"54","peak generation","solar","CSP_peak",2030,"capital",666,0.13
"55","base load generation","solar","CSP_base",2035,"capital",593,0.13
"56","intermediate generation","solar","CSP_int",2035,"capital",593,0.13
"57","subpeak generation","solar","CSP_subpeak",2035,"capital",593,0.13
"58","peak generation","solar","CSP_peak",2035,"capital",593,0.13
"59","base load generation","solar","CSP_base",2040,"capital",547,0.13
"60","intermediate generation","solar","CSP_int",2040,"capital",547,0.13
"61","subpeak generation","solar","CSP_subpeak",2040,"capital",547,0.13
"62","peak generation","solar","CSP_peak",2040,"capital",547,0.13
"63","base load generation","solar","CSP_base",2045,"capital",519,0.13
"64","intermediate generation","solar","CSP_int",2045,"capital",519,0.13
"65","subpeak generation","solar","CSP_subpeak",2045,"capital",519,0.13
"66","peak generation","solar","CSP_peak",2045,"capital",519,0.13
"67","base load generation","solar","CSP_base",2050,"capital",501,0.13
"68","intermediate generation","solar","CSP_int",2050,"capital",501,0.13
"69","subpeak generation","solar","CSP_subpeak",2050,"capital",501,0.13
"70","peak generation","solar","CSP_peak",2050,"capital",501,0.13
"71","base load generation","solar","CSP_base",2055,"capital",490,0.13
"72","intermediate generation","solar","CSP_int",2055,"capital",490,0.13
"73","subpeak generation","solar","CSP_subpeak",2055,"capital",490,0.13
"74","peak generation","solar","CSP_peak",2055,"capital",490,0.13
"75","base load generation","solar","CSP_base",2060,"capital",483,0.13
"76","intermediate generation","solar","CSP_int",2060,"capital",483,0.13
"77","subpeak generation","solar","CSP_subpeak",2060,"capital",483,0.13
"78","peak generation","solar","CSP_peak",2060,"capital",483,0.13
"79","base load generation","solar","CSP_base",2065,"capital",479,0.13
"80","intermediate generation","solar","CSP_int",2065,"capital",479,0.13
"81","subpeak generation","solar","CSP_subpeak",2065,"capital",479,0.13
"82","peak generation","solar","CSP_peak",2065,"capital",479,0.13
"83","base load generation","solar","CSP_base",2070,"capital",476,0.13
"84","intermediate generation","solar","CSP_int",2070,"capital",476,0.13
"85","subpeak generation","solar","CSP_subpeak",2070,"capital",476,0.13
"86","peak generation","solar","CSP_peak",2070,"capital",476,0.13
"87","base load generation","solar","CSP_base",2075,"capital",475,0.13
"88","intermediate generation","solar","CSP_int",2075,"capital",475,0.13
"89","subpeak generation","solar","CSP_subpeak",2075,"capital",475,0.13
"90","peak generation","solar","CSP_peak",2075,"capital",475,0.13
"91","base load generation","solar","CSP_base",2080,"capital",474,0.13
"92","intermediate generation","solar","CSP_int",2080,"capital",474,0.13
"93","subpeak generation","solar","CSP_subpeak",2080,"capital",474,0.13
"94","peak generation","solar","CSP_peak",2080,"capital",474,0.13
"95","base load generation","solar","CSP_base",2085,"capital",473,0.13
"96","intermediate generation","solar","CSP_int",2085,"capital",473,0.13
"97","subpeak generation","solar","CSP_subpeak",2085,"capital",473,0.13
"98","peak generation","solar","CSP_peak",2085,"capital",473,0.13
"99","base load generation","solar","CSP_base",2090,"capital",473,0.13
"100","intermediate generation","solar","CSP_int",2090,"capital",473,0.13
"101","subpeak generation","solar","CSP_subpeak",2090,"capital",473,0.13
"102","peak generation","solar","CSP_peak",2090,"capital",473,0.13
"103","base load generation","solar","CSP_base",2095,"capital",472,0.13
"104","intermediate generation","solar","CSP_int",2095,"capital",472,0.13
"105","subpeak generation","solar","CSP_subpeak",2095,"capital",472,0.13
"106","peak generation","solar","CSP_peak",2095,"capital",472,0.13
"107","base load generation","solar","CSP_base",2100,"capital",472,0.13
"108","intermediate generation","solar","CSP_int",2100,"capital",472,0.13
"109","subpeak generation","solar","CSP_subpeak",2100,"capital",472,0.13
"110","peak generation","solar","CSP_peak",2100,"capital",472,0.13
"111","base load generation","solar","PV_base",1975,"capital",344,0.13
"112","intermediate generation","solar","PV_int",1975,"capital",344,0.13
"113","subpeak generation","solar","PV_subpeak",1975,"capital",344,0.13
"114","peak generation","solar","PV_peak",1975,"capital",344,0.13
"115","base load generation","solar","PV_base",1990,"capital",344,0.13
"116","intermediate generation","solar","PV_int",1990,"capital",344,0.13
"117","subpeak generation","solar","PV_subpeak",1990,"capital",344,0.13
"118","peak generation","solar","PV_peak",1990,"capital",344,0.13
"119","base load generation","solar","PV_base",2005,"capital",344,0.13
"120","intermediate generation","solar","PV_int",2005,"capital",344,0.13
"121","subpeak generation","solar","PV_subpeak",2005,"capital",344,0.13
"122","peak generation","solar","PV_peak",2005,"capital",344,0.13
"123","base load generation","solar","PV_base",2010,"capital",344,0.13
"124","intermediate generation","solar","PV_int",2010,"capital",344,0.13
"125","subpeak generation","solar","PV_subpeak",2010,"capital",344,0.13
"126","peak generation","solar","PV_peak",2010,"capital",344,0.13
"127","base load generation","solar","PV_base",2015,"capital",344,0.13
