"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate","subsector.name0"
"1","elect_td_bld","rooftop_pv","rooftop_pv",1975,"capital",696,0.1,"rooftop_pv"
"2","elect_td_bld","rooftop_pv","rooftop_pv",1990,"capital",696,0.1,"rooftop_pv"
"3","elect_td_bld","rooftop_pv","rooftop_pv",2005,"capital",696,0.1,"rooftop_pv"
"4","elect_td_bld","rooftop_pv","rooftop_pv",2010,"capital",696,0.1,"rooftop_pv"
"5","elect_td_bld","rooftop_pv","rooftop_pv",2015,"capital",696,0.1,"rooftop_pv"
"6","elect_td_bld","rooftop_pv","rooftop_pv",2021,"capital",637,0.1,"rooftop_pv"
"7","elect_td_bld","rooftop_pv","rooftop_pv",2025,"capital",459,0.1,"rooftop_pv"
"8","elect_td_bld","rooftop_pv","rooftop_pv",2030,"capital",332,0.1,"rooftop_pv"
"9","elect_td_bld","rooftop_pv","rooftop_pv",2035,"capital",266,0.1,"rooftop_pv"
"10","elect_td_bld","rooftop_pv","rooftop_pv",2040,"capital",230,0.1,"rooftop_pv"
"11","elect_td_bld","rooftop_pv","rooftop_pv",2045,"capital",212,0.1,"rooftop_pv"
"12","elect_td_bld","rooftop_pv","rooftop_pv",2050,"capital",202,0.1,"rooftop_pv"
"13","elect_td_bld","rooftop_pv","rooftop_pv",2055,"capital",197,0.1,"rooftop_pv"
"14","elect_td_bld","rooftop_pv","rooftop_pv",2060,"capital",194,0.1,"rooftop_pv"
"15","elect_td_bld","rooftop_pv","rooftop_pv",2065,"capital",193,0.1,"rooftop_pv"
"16","elect_td_bld","rooftop_pv","rooftop_pv",2070,"capital",192,0.1,"rooftop_pv"
"17","elect_td_bld","rooftop_pv","rooftop_pv",2075,"capital",192,0.1,"rooftop_pv"
"18","elect_td_bld","rooftop_pv","rooftop_pv",2080,"capital",191,0.1,"rooftop_pv"
"19","elect_td_bld","rooftop_pv","rooftop_pv",2085,"capital",191,0.1,"rooftop_pv"
"20","elect_td_bld","rooftop_pv","rooftop_pv",2090,"capital",191,0.1,"rooftop_pv"
"21","elect_td_bld","rooftop_pv","rooftop_pv",2095,"capital",191,0.1,"rooftop_pv"
"22","elect_td_bld","rooftop_pv","rooftop_pv",2100,"capital",191,0.1,"rooftop_pv"
"23","base load generation","CSP_base","CSP (recirculating)",1975,"capital",968,0.13,"solar"
"24","base load generation","CSP_base","CSP (dry_hybrid)",1975,"capital",968,0.13,"solar"
"25","intermediate generation","CSP_int","CSP (recirculating)",1975,"capital",968,0.13,"solar"
"26","intermediate generation","CSP_int","CSP (dry_hybrid)",1975,"capital",968,0.13,"solar"
"27","subpeak generation","CSP_subpeak","CSP (recirculating)",1975,"capital",968,0.13,"solar"
