# File: A_demand_base_food_prices.csv
# Title: Base Year Food Prices
# Units: 2005$/Mcal/day
# Description: Base year staple and nonstaple prices
# Source: GCAM Output
# Column types: ccccnn
# ----------
Units,region,nodeinput,input,year,value
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand_NonStaples,1990,0.383478
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand_Staples,1990,0.0436434
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand_NonStaples,1990,0.350568
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand_Staples,1990,0.0324262
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand_NonStaples,1990,0.325943
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand_Staples,1990,0.055592
2005$/Mcal/day,Africa_Western,FoodDemand,FoodDemand_NonStaples,1990,0.267008
2005$/Mcal/day,Africa_Western,FoodDemand,FoodDemand_Staples,1990,0.0527185
2005$/Mcal/day,Albania,FoodDemand,FoodDemand_NonStaples,1990,0.286592
2005$/Mcal/day,Albania,FoodDemand,FoodDemand_Staples,1990,0.0216086
2005$/Mcal/day,Argentina,FoodDemand,FoodDemand_NonStaples,1990,0.722401
2005$/Mcal/day,Argentina,FoodDemand,FoodDemand_Staples,1990,0.0993948
2005$/Mcal/day,Australia_NZ,FoodDemand,FoodDemand_NonStaples,1990,0.376978
2005$/Mcal/day,Australia_NZ,FoodDemand,FoodDemand_Staples,1990,0.0404047
2005$/Mcal/day,Austria,FoodDemand,FoodDemand_NonStaples,1990,0.215448
2005$/Mcal/day,Austria,FoodDemand,FoodDemand_Staples,1990,0.0409516
2005$/Mcal/day,Belarus,FoodDemand,FoodDemand_NonStaples,1990,0.229387
2005$/Mcal/day,Belarus,FoodDemand,FoodDemand_Staples,1990,0.0414516
2005$/Mcal/day,Belgium,FoodDemand,FoodDemand_NonStaples,1990,0.242317
2005$/Mcal/day,Belgium,FoodDemand,FoodDemand_Staples,1990,0.0500726
