# File: A_soil_time_scale_R.csv
# Title: A_soil_tim_scale_R
# Units: NA
# Description: sets the number of years for soil carbon recovery following LUC
# Original source: NA
# Column types: ii
# ----------
GCAM_region_ID,soilTimeScale
1,50
2,25
3,25
4,25
5,25
6,50
7,25
8,75
9,25
10,75
11,50
12,25
13,25
14,50
15,25
16,50
17,25
18,200
19,50
20,25
21,25
22,25
23,50
24,25
25,50
26,50
27,25
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
