# File: GCAM_region_names.csv
# Title: GCAM 32-region names
# Units: NA
# Description: Maps GCAM region IDs to region names
# Column types: ic
# ----------
GCAM_region_ID,region
1,USA
2,Africa_Eastern
3,Africa_Northern
4,Africa_Southern
5,Africa_Western
6,Australia_NZ
7,Brazil
8,Canada
9,Central America and Caribbean
10,Central Asia
11,China
12,India
13,Indonesia
14,Japan
15,Mexico
16,Middle East
17,Pakistan
18,Russia
19,South Africa
20,South America_Northern
21,South America_Southern
22,South Asia
23,South Korea
24,Southeast Asia
25,Taiwan
26,Argentina
27,Colombia
28,Austria
29,Belgium
30,Bulgaria
31,Croatia
32,Cyprus
33,Czech Republic
34,Denmark
35,Estonia
36,Finland
37,France
38,Germany
39,Greece
40,Hungary
41,Ireland
42,Italy
43,Latvia
44,Lithuania
45,Luxembourg
46,Malta
47,Netherlands
48,Poland
49,Portugal
50,Romania
51,Slovakia
52,Slovenia
53,Spain
54,Sweden
55,Albania
56,Belarus
57,Bosnia and Herzegovina
58,Iceland
59,Macedonia
60,Moldova
61,Norway
62,Serbia and Montenegro
63,Switzerland
64,Turkey
65,UK
66,Ukraine
