# File: A22.SubsectorShrwtFllt_en_R.csv
# Title: Region-specific refining subsector shareweights interpolation rules 
# Description: adjust biomass liquid share weight for a few regions with palm biodiesel to lower values. This is needed due to data updates. Currently, the same assumption is used across all regions, e.g. same with A22.subsector_shrwt,,
# Units: Unitless share-weights
# Date of last update: 2026-03-19 (DV)
# Comment:note that for regions not included (e.g., new regions) USA assumptions are used by default.,,,
# Column types: cccnn
# ----------
region,supplysector,subsector,year.fillout,share.weight
USA,refining,biomass liquids,2025,1
Africa_Eastern,refining,biomass liquids,2100,0.25
Africa_Northern,refining,biomass liquids,2100,0.25
Africa_Southern,refining,biomass liquids,2100,0.25
Africa_Western,refining,biomass liquids,2100,0.25
Australia_NZ,refining,biomass liquids,2100,0.25
Brazil,refining,biomass liquids,2025,1
Canada,refining,biomass liquids,2100,0.25
Central America and Caribbean,refining,biomass liquids,2100,0.25
Central Asia,refining,biomass liquids,2100,0.25
China,refining,biomass liquids,2100,0.25
India,refining,biomass liquids,2100,0.25
Indonesia,refining,biomass liquids,2100,1
Japan,refining,biomass liquids,2100,0.25
Mexico,refining,biomass liquids,2100,0.25
Middle East,refining,biomass liquids,2100,0.25
Pakistan,refining,biomass liquids,2100,0.25
Russia,refining,biomass liquids,2100,0.25
South Africa,refining,biomass liquids,2100,0.25
South America_Northern,refining,biomass liquids,2100,0.25
South America_Southern,refining,biomass liquids,2100,0.25
South Asia,refining,biomass liquids,2100,0.25
South Korea,refining,biomass liquids,2100,0.25
Southeast Asia,refining,biomass liquids,2100,0.25
Taiwan,refining,biomass liquids,2100,0.25
Argentina,refining,biomass liquids,2025,1
Colombia,refining,biomass liquids,2025,1
Austria,refining,biomass liquids,2025,1
Belgium,refining,biomass liquids,2100,1
Bulgaria,refining,biomass liquids,2025,1
Croatia,refining,biomass liquids,2025,1
Cyprus,refining,biomass liquids,2100,1
Czech Republic,refining,biomass liquids,2025,1
Denmark,refining,biomass liquids,2025,1
Estonia,refining,biomass liquids,2100,1
Finland,refining,biomass liquids,2025,1
France,refining,biomass liquids,2025,1
Germany,refining,biomass liquids,2100,1
Greece,refining,biomass liquids,2100,0.25
Hungary,refining,biomass liquids,2025,1
Ireland,refining,biomass liquids,2025,1
Italy,refining,biomass liquids,2100,1
Latvia,refining,biomass liquids,2025,1
Lithuania,refining,biomass liquids,2025,1
Luxembourg,refining,biomass liquids,2025,1
Malta,refining,biomass liquids,2100,1
Netherlands,refining,biomass liquids,2025,1
Poland,refining,biomass liquids,2025,1
Portugal,refining,biomass liquids,2025,1
Romania,refining,biomass liquids,2025,1
Slovakia,refining,biomass liquids,2025,1
Slovenia,refining,biomass liquids,2025,1
Spain,refining,biomass liquids,2100,1
Sweden,refining,biomass liquids,2025,1
Albania,refining,biomass liquids,2025,1
Belarus,refining,biomass liquids,2100,0.25
Bosnia and Herzegovina,refining,biomass liquids,2100,0.25
Iceland,refining,biomass liquids,2025,1
Macedonia,refining,biomass liquids,2100,0.25
Moldova,refining,biomass liquids,2100,0.25
Norway,refining,biomass liquids,2025,1
Serbia and Montenegro,refining,biomass liquids,2100,0.25
Switzerland,refining,biomass liquids,2100,1
Turkey,refining,biomass liquids,2100,0.25
UK,refining,biomass liquids,2100,1
Ukraine,refining,biomass liquids,2100,0.25
