# File: comtrade_ff_trade.csv
# Title: Comtrade trade of fossil fuels
# Source: UN Comtrade
# Units: NA
# Column types: iiccciciicnn
# ----------
Year,Reporter_Code,Reporter_iso,Trade_Flow_Code,Trade,Partner_Code,Partner_iso,Commodity_Code,Quantity_Unit_Code,Qty_unit_abbr,Value,Netweight_(kg)
2014,12,DZA,M,Import,0,W00,2701,8,kg,8271334,38345251
2014,12,DZA,M,Import,276,DEU,2701,8,kg,144772,197606
2014,12,DZA,M,Import,724,ESP,2701,8,kg,641559,2077960
2014,12,DZA,M,Import,804,UKR,2701,8,kg,7475460,36059685
2014,12,DZA,M,Import,826,GBR,2701,8,kg,9543,10000
2014,20,AND,M,Import,0,W00,2701,8,kg,227.074,5
2014,20,AND,M,Import,156,CHN,2701,8,kg,227.074,5
2014,24,AGO,M,Import,0,W00,2701,8,kg,548753,483938
2014,24,AGO,M,Import,76,BRA,2701,8,kg,540426,479330
2014,24,AGO,M,Import,380,ITA,2701,8,kg,3806,3769
2014,24,AGO,M,Import,516,NAM,2701,8,kg,394,76
2014,24,AGO,M,Import,528,NLD,2701,8,kg,973,57
2014,24,AGO,M,Import,620,PRT,2701,8,kg,2358,403
2014,24,AGO,M,Import,710,ZAF,2701,8,kg,796,303
2014,28,ATG,M,Import,0,W00,2701,8,kg,264,186
2014,28,ATG,M,Import,826,GBR,2701,8,kg,5,6
2014,28,ATG,M,Import,842,USA,2701,8,kg,259,180
2014,31,AZE,M,Import,0,W00,2701,8,kg,471944,2020116
2014,31,AZE,M,Import,643,RUS,2701,8,kg,112870,501700
2014,31,AZE,M,Import,792,TUR,2701,8,kg,1115,900
2014,31,AZE,M,Import,804,UKR,2701,8,kg,357959,1517516
2014,32,ARG,M,Import,0,W00,2701,8,kg,237521601.2,2000315911
2014,32,ARG,M,Import,36,AUS,2701,8,kg,89718252.67,671783045
2014,32,ARG,M,Import,76,BRA,2701,8,kg,47100.34,96760
2014,32,ARG,M,Import,156,CHN,2701,8,kg,259116.64,430410
2014,32,ARG,M,Import,170,COL,2701,8,kg,50138877.13,529351700
2014,32,ARG,M,Import,710,ZAF,2701,8,kg,37022617.49,382855000
2014,32,ARG,M,Import,826,GBR,2701,8,kg,34162.24,56000
2014,32,ARG,M,Import,842,USA,2701,8,kg,60301474.73,415742995.7
2014,36,AUS,M,Import,0,W00,2701,8,kg,,84157483
2014,36,AUS,M,Import,36,AUS,2701,8,kg,,112500
2014,36,AUS,M,Import,156,CHN,2701,8,kg,,8020637
2014,36,AUS,M,Import,170,COL,2701,8,kg,,30692348
2014,36,AUS,M,Import,191,HRV,2701,8,kg,,3950
2014,36,AUS,M,Import,276,DEU,2701,8,kg,,9872
2014,36,AUS,M,Import,300,GRC,2701,8,kg,,1922
2014,36,AUS,M,Import,344,HKG,2701,8,kg,,44120
2014,36,AUS,M,Import,392,JPN,2701,8,kg,,35420
2014,36,AUS,M,Import,410,KOR,2701,8,kg,,23020
2014,36,AUS,M,Import,499,MNE,2701,8,kg,,10900
2014,36,AUS,M,Import,554,NZL,2701,8,kg,,20069990
2014,36,AUS,M,Import,704,VNM,2701,8,kg,,24598000
2014,36,AUS,M,Import,710,ZAF,2701,8,kg,,98200
2014,36,AUS,M,Import,764,THA,2701,8,kg,,33408
2014,36,AUS,M,Import,784,ARE,2701,8,kg,,267740
2014,36,AUS,M,Import,826,GBR,2701,8,kg,,48290
2014,36,AUS,M,Import,842,USA,2701,8,kg,,87167
2014,40,AUT,M,Import,0,W00,2701,8,kg,415767228.8,3177754857
2014,40,AUT,M,Import,36,AUS,2701,8,kg,38887922.41,235504000
2014,40,AUT,M,Import,76,BRA,2701,8,kg,1039.272,100
2014,40,AUT,M,Import,124,CAN,2701,8,kg,135.557,13
2014,40,AUT,M,Import,170,COL,2701,8,kg,6458586.212,70412500
2014,40,AUT,M,Import,191,HRV,2701,8,kg,95037.587,608591
2014,40,AUT,M,Import,203,CZE,2701,8,kg,148358718.1,1283503750
2014,40,AUT,M,Import,276,DEU,2701,8,kg,10346846.33,109493849
2014,40,AUT,M,Import,380,ITA,2701,8,kg,2348239.482,5873570
2014,40,AUT,M,Import,508,MOZ,2701,8,kg,3582089.465,24345800
2014,40,AUT,M,Import,579,NOR,2701,8,kg,690345.185,3576000
2014,40,AUT,M,Import,616,POL,2701,8,kg,116552797.7,887977000
2014,40,AUT,M,Import,643,RUS,2701,8,kg,1465288.721,13821120
2014,40,AUT,M,Import,688,SRB,2701,8,kg,239.219,310
2014,40,AUT,M,Import,699,IND,2701,8,kg,12957.677,47785
2014,40,AUT,M,Import,724,ESP,2701,8,kg,10982.795,13692
2014,40,AUT,M,Import,804,UKR,2701,8,kg,9714.936,75442
2014,40,AUT,M,Import,842,USA,2701,8,kg,86946288.2,542501335
2014,44,BHS,M,Import,0,W00,2701,8,kg,92491,1098000
2014,44,BHS,M,Import,842,USA,2701,8,kg,92491,1098000
