# File: comtrade_ff_trade_adjEUR.csv
# Title: Comtrade trade of fossil fuels - correction of empty values based on Eurostat data
# Source: Eurostat
# Units: NA
# Column types: iiccciciicnn
# ----------
Year,Reporter_Code,Reporter_iso,Trade_Flow_Code,Trade,Partner_Code,Partner_iso,Commodity_Code,Quantity_Unit_Code,Qty_unit_abbr,Value,Netweight_(kg)
2010,276,DEU,M,Import,528,XX ,271121,8,kg,7305988459,19361539316
2010,276,DEU,M,Import,579,XX ,271121,8,kg,9575232220,25375243352
2010,276,DEU,M,Import,643,XX ,271121,8,kg,11368289256,30127008906
2010,276,DEU,M,Import,839,XX ,271121,8,kg,3192858743,8461368427
2015,276,DEU,M,Import,528,XX ,271121,8,kg,10346500086,32113722876
2015,276,DEU,M,Import,579,XX ,271121,8,kg,6720107682,20858036437
2015,276,DEU,M,Import,643,XX ,271121,8,kg,13329396390,41372110203
2015,276,DEU,M,Import,839,XX ,271121,8,kg,926950047.5,2877090484
2021,276,DEU,M,Import,528,XX ,271121,8,kg,4197469276,10303912708
2021,276,DEU,M,Import,579,XX ,271121,8,kg,9334961843,22915386782
2021,276,DEU,M,Import,643,XX ,271121,8,kg,21307533605,52305556482
2021,276,DEU,M,Import,839,XX ,271121,8,kg,11192454378,27475144028
2010,616,POL,M,Import,276,XX ,271121,8,kg,378876095,1004056392
2010,616,POL,M,Import,643,XX ,271121,8,kg,3262414107,8645696520
2010,616,POL,M,Import,839,XX ,271121,8,kg,2006404.74,5317156.531
2015,616,POL,M,Import,276,XX ,271121,8,kg,953461651.1,2959377855
2015,616,POL,M,Import,643,XX ,271121,8,kg,2644358094,8207624057
2015,616,POL,M,Import,839,XX ,271121,8,kg,6104800.242,18948229.99
2021,616,POL,M,Import,276,XX ,271121,8,kg,964780512.4,2994509617
2021,616,POL,M,Import,643,XX ,271121,8,kg,3121936585,9689943991
2021,616,POL,M,Import,634,XX ,271121,8,kg,723430661.4,2245401980
2021,616,POL,M,Import,839,XX ,271121,8,kg,718272492.9,2229391929
2015,12,DZA,X,Export,380,ITA,271121,8,kg,2018109105,5244080000
2015,434,LBY,X,Export,380,ITA,271121,8,kg,1961213487,5144830000
2015,12,DZA,X,Export,724,ESP,271121,8,kg,4096458915,11457500000
2021,12,DZA,X,Export,380,ITA,271121,8,kg,5142497121,15324400000
2021,434,LBY,X,Export,380,ITA,271121,8,kg,1635357827,2338710000
2021,12,DZA,X,Export,724,ESP,271121,8,kg,2234581050,7575250000
