# File: A07.hh_DIAMOND.csv
# Title: The EU_hh_DIAMOND database was created by merging information from SILC (recipient) and HBS (donor) using the statistical matching strategy of Tom��s et al. (2025). The database is created for household income dec, covering multiple microeconomic variables rGRCated to income and consumption dimensions for the reference year 2015, and expresses the information in current euros (average per household). Note that some countries are not yet included due to data issue (AT).
# Source: BC3 microdata
# Units: 2015 EURO
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
ISO3,Decile,Households,Population,HY010,HY020,PY010G_hh,PY020G_hh,PY021G_hh,PY050G_hh,PY080G_hh,PY090G_hh,PY100G_hh,PY110G_hh,PY120G_hh,PY130G_hh,PY140G_hh,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY090G,HY100G,HY110G,HY120G,HY130G,HY140G,HY170G,EUR_HE00,EUR_HE011,EUR_HE012,EUR_HE021,EUR_HE022,EUR_HE023,EUR_HE031,EUR_HE032,EUR_HE041,EUR_HE042,EUR_HE043,EUR_HE044,EUR_HE0451,EUR_HE04510,EUR_HE0452,EUR_HE04521,EUR_HE04522,EUR_HE0453,EUR_HE04530,EUR_HE0454,EUR_HE04541,EUR_HE04549,EUR_HE0455,EUR_HE04550,EUR_HE051,EUR_HE052,EUR_HE053,EUR_HE054,EUR_HE055,EUR_HE056,EUR_HE061,EUR_HE062,EUR_HE063,EUR_HE071,EUR_HE0721,EUR_HE0722,EUR_HE07221,EUR_HE07222,EUR_HE07223,EUR_HE07224,EUR_HE0723,EUR_HE0724,EUR_HE0731,EUR_HE07311,EUR_HE07312,EUR_HE0732,EUR_HE07321,EUR_HE07322,EUR_HE0733,EUR_HE07331,EUR_HE07332,EUR_HE0734,EUR_HE07341,EUR_HE07342,EUR_HE0735,EUR_HE07350,EUR_HE0736,EUR_HE07361,EUR_HE07362,EUR_HE07369,EUR_HE081,EUR_HE082,EUR_HE083,EUR_HE091,EUR_HE092,EUR_HE093,EUR_HE094,EUR_HE095,EUR_HE096,EUR_HE101,EUR_HE102,EUR_HE103,EUR_HE104,EUR_HE105,EUR_HE111,EUR_HE112,EUR_HE121,EUR_HE122,EUR_HE123,EUR_HE124,EUR_HE125,EUR_HE126,EUR_HE127
BEL,Decile 1,342250.1383,1112970.209,6443.931234,5431.716234,1886.735931,26.80519203,0.158425236,545.9437883,0,972.8143372,728.2290158,4.326984889,94.16218522,523.4209165,39.82902339,1065.574255,32.02855168,921.7219905,541.228305,6.11759846,126.0153912,20.34020161,152.7874253,0.858596001,0,91.39328502,920.8217175,0,7043.156207,998.7611505,127.4930415,71.30385004,90.09593067,0,172.1597849,66.42510266,1162.20727,797.9070803,51.33460466,179.235852,254.758119,254.758119,125.0531834,122.245226,2.807957429,107.6795197,0,28.17649202,7.508847402,20.66764462,0,0,65.71860359,15.69884727,69.40824574,15.74703946,18.77010999,88.3664599,124.2492436,138.9764938,23.39497279,151.877252,19.60854886,210.8997901,128.8401041,75.19987096,5.930336077,0.929024062,40.81269946,78.33730772,24.53259867,18.13838437,6.394124371,16.03885763,14.03024954,2.008588159,27.94604909,0,27.94604909,0.05456371,0.05456371,0,0,0,2.095573324,0,2.095573324,0,5.076043606,18.03507032,290.2295435,54.24188094,1.363961214,110.4808134,106.4924323,50.46763166,57.37040859,0,0,0,0,26.50294105,207.5944311,44.59166387,117.7742674,0,25.10827111,18.41077128,428.8346799,18.30170885,97.14391676
BEL,Decile 2,363781.9425,1112649.575,10398.40668,8559.072368,4998.802695,95.05975173,8.324220176,1022.890759,0,681.3963209,1577.993579,42.99528586,74.85079585,595.0541951,38.13234598,1495.35076,63.26731294,909.1063438,228.9130271,0.413177734,125.4623819,30.56203434,276.5523748,0.242229246,0,109.839949,1729.494374,0,9458.558629,1364.879469,168.2231787,111.1738318,88.93981439,0,303.2586474,80.21604018,867.6068338,1466.49963,57.51767766,173.9848653,285.1218928,285.1218928,167.915801,165.5923599,2.323441097,166.6056372,0,32.1948093,5.537931563,26.65687774,0,0,84.46515418,29.10687045,71.37857583,23.07196576,29.23034872,132.0879769,188.4158322,235.8892052,35.8766028,140.1535187,103.3477574,338.4311349,203.3714576,130.8196735,3.558905046,0.681551751,99.64078562,127.3717937,29.28194083,19.86392354,9.417762621,9.239057232,7.973774789,1.265217775,37.67773506,0,37.67773506,1.159501684,0.285801191,0.873700492,1.14796031,1.14796031,3.799014801,0,3.799014801,0,7.06471397,8.374615892,338.0320081,77.27495083,4.729330527,161.074054,145.7631622,103.6599923,106.3441192,0,0,0,0,68.93305829,320.4870117,80.04157387,159.4688747,0,36.09208228,37.15763536,592.5545326,18.39883683,138.1851663
BEL,Decile 3,449967.6825,1112864.224,13019.26935,10706.86294,6599.883886,109.9360236,6.0927759,881.6962464,0,845.9898363,2496.204753,75.93247896,53.99137174,592.8505873,39.46328403,1989.436223,76.86592254,698.5741222,443.5931661,1.231555176,142.2884167,56.41341416,263.9839163,8.197515715,0,68.43573118,2243.970695,0,12272.67917,1628.7544,187.4971696,167.8831895,98.31584866,0,419.6051944,118.1464091,991.1000042,1915.86212,101.6513688,215.9766848,325.322033,325.322033,179.3135756,172.9596362,6.353939457,224.6317753,0,32.22648156,2.963806161,29.2626754,0,0,400.7037521,36.89946853,87.34705155,38.12463333,43.28971151,167.8996456,219.9232882,245.0268109,37.55190465,336.3834686,39.38077496,428.0429451,258.5749774,159.1434984,9.160981049,1.163310817,73.36500682,151.8649656,31.09001926,24.00103728,7.088974414,23.74615959,22.91264444,0.833515153,13.85525348,0,13.85525348,0.90397513,0.435710708,0.468264422,0.591877399,0.591877399,0,0,0,0,5.416454674,12.34585201,380.7011913,134.4379488,75.08139544,220.9569113,212.9197846,117.7572526,139.0958222,0,0,0,0,50.0308778,485.2165891,85.02563017,250.1620516,0,46.30192845,72.90233124,778.3889558,25.96944888,197.670928
BEL,Decile 4,460012.6462,1114269.566,15440.94044,12476.5638,8039.263066,167.4602988,17.75348199,1002.445375,0,773.7720272,3276.482643,73.06889796,118.1032012,1027.123143,21.98973353,2131.581591,163.2096237,681.2887348,22.32851295,2.843509274,126.516532,85.56476047,426.3967552,9.187281375,0,105.987648,2858.389021,0,13212.21194,1721.053595,205.2653577,148.0201375,124.2035575,0,492.7391671,133.1059782,970.8001804,2063.518912,116.8619177,221.2135221,349.3645271,349.3645271,213.2524499,210.3187783,2.933718358,197.1727826,0,31.51587307,5.271636212,26.24417415,0,0,93.05936159,33.79010708,86.43668919,39.16651261,84.9034721,201.2289758,231.1203474,280.9396066,36.35521687,548.7641123,65.50988447,434.7272857,258.4674393,169.6877445,5.119740886,1.452246385,141.3791679,257.4470883,28.67499615,20.26194419,8.413055331,13.62457886,9.828069002,3.796509859,28.09961653,0,28.09961653,2.379395783,1.638202257,0.741193527,0,0,0.312082488,0,0.312082488,0,7.166682525,20.27005163,419.6838573,70.55162937,5.218150954,242.9557092,212.8540325,126.2886782,244.4287181,0,0,0,0,50.11617592,562.0470186,218.8726672,274.6007876,0,54.19418348,57.61485627,812.3876255,25.89313977,211.0456106
BEL,Decile 5,516372.8077,1112841.265,17762.29063,14140.74467,9562.031317,192.8556069,34.39625979,877.2630348,5.353949103,792.0826071,4499.951012,99.80814118,51.49967235,889.1522361,12.75538009,2480.316034,182.4118193,526.2889755,76.73661796,11.46613202,80.39522786,59.41925496,338.0358659,1.27897459,0,71.97171405,3549.574214,0,14949.69086,1865.391069,214.0356825,199.4253307,114.1117709,0,515.5316916,173.6946126,970.0936896,2457.853401,126.5157602,303.1671837,398.560051,398.560051,231.2933463,229.3971303,1.896215997,253.6759318,0,30.40992095,3.302205179,27.10771577,0,0,165.1129385,43.7410116,116.0770702,63.82365974,77.01048658,222.9111983,309.4042948,422.077765,43.68115542,333.0931476,61.94837588,471.8274395,270.3998524,188.8905475,7.167664142,5.368460373,158.5512415,254.7992651,51.62048851,42.39317666,9.227239567,31.82173723,23.61083092,8.210933958,38.64620704,0,38.64620704,0.83509136,0.096262063,0.738829297,0,0,1.439471968,0,1.439471968,0,11.56700244,27.39245366,447.7935456,129.37339,8.677789757,283.1043139,238.5775839,158.9530558,320.1632877,0,0,0,0,71.37801416,685.0876139,154.8907682,284.2548343,0,60.6930911,48.61398241,936.2835001,29.48520446,331.2001778
BEL,Decile 6,491875.9273,1113134.828,19824.73706,15724.89873,12113.31876,307.915914,69.88882777,873.9616885,1.921323262,616.9495041,4611.197092,86.57668785,66.87784568,486.5865444,6.965297571,2680.85003,163.4953225,549.8258817,2.426414079,2.385232223,67.71536046,104.6452598,553.4649058,0,0,90.02494278,4009.813334,0,15756.52159,2028.541861,228.2924664,216.3231334,100.6709616,0,636.9569179,150.2101981,691.9774988,2627.592789,165.7161342,225.592141,371.7726799,371.7726799,214.1230266,210.9053555,3.217671126,269.1950657,0,34.91080646,3.24498584,31.66582062,0,0,243.5992943,59.57385631,88.57838866,49.82530869,109.1698589,253.1590113,262.9376088,344.3921251,111.4590885,655.3828982,64.89615066,539.5254633,323.1690062,200.0294514,9.415299064,6.91136451,186.7663165,390.8221622,31.34454282,22.37446887,8.969877811,19.09856184,12.61150242,6.486965957,31.34661628,0,31.34661628,2.800026803,2.696757865,0.103268938,0.66484001,0.66484001,0.039533046,0,0.039533046,0,9.62227294,28.22819033,436.2164026,102.3531917,21.19098221,327.4766274,297.308999,186.9292762,324.2441966,0,0,0,0,83.35515404,641.7930496,133.0990971,312.1029129,0,73.02795779,113.0107168,964.1400662,29.20000432,265.9423671
BEL,Decile 7,485940.1755,1113393.267,22748.64884,17588.39379,13925.81156,326.4331762,83.66330117,1442.789775,1.572678768,504.1924374,4969.281838,186.2427098,120.3321667,554.4001412,5.554327768,2797.184632,273.142606,503.376629,11.07376123,5.347998471,53.92291283,107.5481347,518.7718659,0.395843026,0,77.293186,5082.961858,0,17254.90395,2036.227635,241.9260039,289.3008782,128.9821979,0,698.5533673,193.881715,731.6659693,2773.937894,145.6877572,253.8177584,385.7533445,385.7533445,227.4475426,222.8853542,4.562188419,269.5419881,0,21.40777129,4.069051382,17.33871991,0,0,267.3819411,74.60524003,170.0965926,61.54322702,86.23212115,280.4349002,289.6598524,383.0057139,64.0543375,928.5558115,74.85095862,542.2443408,340.6939747,194.2165343,4.969582898,2.364182321,207.6576414,357.0758969,35.80922259,24.3418809,11.46702133,15.06373404,10.25458177,4.809290056,110.4060935,0,110.4060935,6.766442637,0.434947171,6.331495466,1.994331771,1.994331771,0.513172794,0,0.513172794,0,12.61010099,21.83152113,459.1368504,160.0427806,44.89172573,319.1340333,285.9283691,190.4473379,392.5522403,0,0,0,0,118.6762883,781.8962564,261.477428,308.2399349,0,84.48880766,69.07137244,1097.552806,38.15699835,252.6693193
BEL,Decile 8,518857.2282,1114493.943,26624.92633,19963.69667,18498.93362,437.220816,120.2253277,1322.586,0,442.7922098,4684.535249,87.10770311,159.749667,256.7798398,0,3002.237567,370.8022432,406.9352674,0,5.18557383,87.70879833,181.1003003,485.5494143,0.484431677,0,141.3702599,6519.859444,0,19099.72469,2241.592686,263.099904,279.9703151,115.3883943,0,775.2273917,203.6068074,908.277677,2838.818822,187.7130472,310.8944622,404.867734,404.867734,247.60765,244.6414125,2.9663864,292.2924406,0,29.34554252,3.181508981,26.16403354,0,0,346.9111511,69.90596886,169.4334326,64.05622266,106.4116485,300.1815253,351.4754706,421.996471,57.89930527,1199.86246,63.79531853,657.4309811,400.8469874,245.6253671,8.279386035,2.679435651,213.3711454,519.2362312,61.19055985,41.83261469,19.35771094,19.74700587,13.22963958,6.517366292,66.82467548,0,66.82467548,5.770062227,5.50971476,0.260347467,0,0,0.192115653,0,0.192115653,0,9.84228304,45.34995652,497.5879065,134.2953193,16.18507185,368.9757329,305.6999861,203.4718757,367.5158446,0,0,0,0,61.10745546,941.1908008,278.6342509,379.3221981,0,97.65765979,88.38440477,1163.84185,30.97667503,315.2711075
BEL,Decile 9,572361.0275,1112016.981,32121.16827,23624.38777,22394.77062,519.5577001,147.6694926,1571.597074,7.457282994,650.1992533,5721.267735,92.25296081,162.315524,243.3808491,0.287433194,3275.748876,540.9605726,243.7436812,0,2.115358313,86.49315767,256.6572098,575.1928946,0,0,194.9334222,8301.847082,0,21502.6955,2462.697765,270.5416252,304.4302901,140.5747972,0,846.973063,197.6022361,935.6262752,3266.194193,243.0653732,320.4375229,441.4378202,441.4378202,280.688436,270.9967262,9.691709849,278.0936093,0,25.31184278,2.040278022,23.27156476,0,0,358.5791594,68.48918275,154.1501533,84.89211293,120.1659375,366.6085915,293.1746994,417.310617,51.31795821,1012.964898,74.77939289,729.531154,448.4575079,269.5711859,9.360366264,2.141679768,350.2554458,464.7324135,81.15892913,65.25405863,15.90453333,24.32339727,10.26393154,14.05919049,169.5063697,0,169.5063697,4.911753811,4.021185485,0.890568325,0.310439538,0.310439538,1.683382339,0,1.683382339,0,9.444558638,39.98352431,539.2222583,179.8443164,131.0404313,434.854779,374.3027175,253.7877423,637.5922227,0,0,0,0,93.5571713,1206.66186,360.1028884,420.6240102,0,102.5654328,111.1253129,1344.187506,36.29842111,384.9535878
BEL,Decile 10,649507.0347,1114787.655,52342.58983,36749.49772,39162.7031,904.9482187,330.747767,3293.10563,43.80813956,1236.976007,4692.324463,41.52270682,60.71789988,207.5068355,0.263308545,4280.931557,1361.359635,212.9823954,0,4.634002672,106.336403,1587.601552,844.9923889,0,0,334.650905,15258.44124,0,28314.47928,2908.515276,333.692409,441.0993066,131.5174326,0,940.6642902,243.4817427,1050.564175,3970.492423,324.0978232,414.5454145,519.1022513,519.1022513,310.914277,307.4943448,3.419932191,368.8856113,0,42.23237845,2.119793188,40.11258526,0,0,984.180076,124.6462308,326.5840821,98.09088303,137.7196467,498.5228593,413.6520876,510.9614032,41.93567374,2320.955156,152.3288061,863.1011682,533.6055291,318.1974348,8.069949601,3.227132677,364.7815891,869.4245308,71.53763772,57.438128,14.09914377,20.67244983,9.729362092,10.94320846,201.2716655,0,201.2716655,12.56951292,7.931473156,4.638039769,0,0,1.7042468,0,1.7042468,0,16.42647397,56.02517439,643.9950393,249.1662931,30.14432545,497.5784676,448.9811884,274.318755,926.2569896,0,0,0,0,128.6475445,1455.104086,601.4974836,532.7913682,0,169.5152234,97.53237172,1609.659346,42.06611581,520.3019182
