# File: A44.CalPrice_bld_EUR.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnnn
# ----------
region,market,1990,2005,2010,2015,2021
Albania,comm cooling EUR,19.6193,11.2809,11.9274,11.6758,10.1688
Albania,comm heating EUR,3.56433,11.044,15.687,14.0037,12.3499
Albania,comm others EUR,16.8556,24.1277,28.4417,26.9825,23.3335
Austria,comm cooling EUR,12.1101,11.1284,11.1136,10.8651,10.198
Austria,comm heating EUR,10.3825,9.3422,10.8982,11.263,10.1511
Austria,comm others EUR,23.411,21.0943,23.7043,24.3005,22.1677
Belgium,comm cooling EUR,12.0216,11.0418,11.0668,10.8095,10.1591
Belgium,comm heating EUR,7.79371,9.51808,10.798,11.3212,8.7695
Belgium,comm others EUR,16.6788,20.0201,21.6273,21.8865,19.869
Bosnia and Herzegovina,comm cooling EUR,13.0627,12.3929,11.7891,11.1288,9.76364
Bosnia and Herzegovina,comm heating EUR,3.06195,5.79591,10.4813,8.5415,10.0016
Bosnia and Herzegovina,comm others EUR,18.3763,21.8096,24.595,25.1177,23.1005
Bulgaria,comm cooling EUR,12.828,11.6704,11.8535,11.1454,9.55193
Bulgaria,comm heating EUR,7.89315,10.7013,13.6751,12.9153,10.3486
Bulgaria,comm others EUR,21.7382,27.258,28.5715,26.94,22.507
Croatia,comm cooling EUR,12.767,11.4253,11.6129,11.0565,9.66234
Croatia,comm heating EUR,8.3462,9.94509,12.7181,12.7163,10.4891
Croatia,comm others EUR,23.2929,23.8033,25.7774,24.9782,21.3111
Cyprus,comm cooling EUR,11.069,9.79823,10.1679,9.894,8.82857
Cyprus,comm heating EUR,13.017,12.5975,13.7842,13.8801,11.9057
Cyprus,comm others EUR,25.4963,22.8003,21.6997,21.5156,18.5906
Czech Republic,comm cooling EUR,12.8624,11.7903,12.252,11.6289,10.6638
Czech Republic,comm heating EUR,5.63123,7.85967,10.1161,10.8663,9.20642
Czech Republic,comm others EUR,19.4306,23.3563,25.919,25.5658,23.491
Denmark,comm cooling EUR,12.8648,11.4861,11.1813,11.1916,10.5801
Denmark,comm heating EUR,7.99797,8.81738,9.35245,9.57096,9.81634
Denmark,comm others EUR,19.5595,19.7952,19.8049,20.8738,19.8529
Estonia,comm cooling EUR,15.7632,13.9014,13.1906,12.7771,11.532
Estonia,comm heating EUR,7.24666,8.17341,10.1531,10.0743,9.06519
Estonia,comm others EUR,25.0615,29.9883,30.4315,30.3471,28.2235
Finland,comm cooling EUR,12.5514,11.4393,10.8557,11.0152,10.4776
Finland,comm heating EUR,11.5451,11.3186,12.1807,13.3026,12.3717
Finland,comm others EUR,28.1587,24.3545,24.1875,25.4871,24.0355
France,comm cooling EUR,12.1834,11.1821,11.251,11.041,10.4292
France,comm heating EUR,10.5121,11.2493,12.7069,12.7877,10.9225
France,comm others EUR,20.1149,20.2922,22.3145,22.7068,20.7171
Germany,comm cooling EUR,11.9473,11.0983,11.042,10.8259,10.2221
Germany,comm heating EUR,6.75267,8.649,10.4395,10.962,8.87424
Germany,comm others EUR,17.7838,19.988,21.571,21.8034,19.8008
Greece,comm cooling EUR,11.3109,10.1744,10.3149,10.1399,9.14709
Greece,comm heating EUR,13.8702,13.6164,14.2087,12.7632,11.0559
Greece,comm others EUR,21.7078,21.2824,23.3058,22.6585,20.1833
Hungary,comm cooling EUR,13.2833,11.8817,12.4341,11.7995,10.7078
Hungary,comm heating EUR,7.37508,7.21123,9.6105,9.34987,7.73414
Hungary,comm others EUR,21.3585,19.1971,23.3955,22.1552,20.2397
Iceland,comm cooling EUR,0,0,0,0,0
Iceland,comm heating EUR,14.0631,14.4323,16.4571,16.3067,17.0383
Iceland,comm others EUR,15.517,15.6664,17.6302,17.5993,17.7036
