# File: A44.USA_TechChange_EUR.csv
# Title: Improvement rates of technologies
# Units: Annual rate
# Column types: ccnnnnnnnnnn 
# ----------
supplysector,technology,1971,1990,2010,2020,2035,2050,2065,2080,2095,2100
resid EUR,resid shell,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045
resid heating modern EUR,biomass,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating coal EUR,coal,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating modern EUR,gas,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid heating modern EUR,refined liquids,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating modern EUR,district heat,0,0,0,0,0,0,0,0,0,0
resid heating modern EUR,resistance,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid heating modern EUR,air-air pump south,0,0,0,0.012,0.018,0.006,0.0015,0.0015,0.0015,0.0015
resid heating modern EUR,air-air pump middle south,0,0,0,0.012,0.018,0.006,0.0015,0.0015,0.0015,0.0015
resid heating modern EUR,air-air pump middle north,0,0,0,0.012,0.018,0.006,0.0015,0.0015,0.0015,0.0015
resid heating modern EUR,air-air pump north,0,0,0,0.012,0.018,0.006,0.0015,0.0015,0.0015,0.0015
resid heating modern EUR,air-water pump south,0,0,0,0.007,0.007,0.002,0.0005,0.0005,0.0005,0.0005
resid heating modern EUR,air-water pump middle south,0,0,0,0.007,0.007,0.002,0.0005,0.0005,0.0005,0.0005
resid heating modern EUR,air-water pump middle north,0,0,0,0.007,0.007,0.002,0.0005,0.0005,0.0005,0.0005
resid heating modern EUR,air-water pump north,0,0,0,0.007,0.007,0.002,0.0005,0.0005,0.0005,0.0005
resid heating modern EUR,geo-water pump,0,0,0,0.01,0.014,0.0025,0.001,0.001,0.001,0.001
resid heating modern EUR,solar thermal,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid cooling modern EUR,electricity,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
resid cooling modern EUR,gas,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid cooking modern EUR,biomass,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid cooking coal EUR,coal,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid cooking modern EUR,electricity,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid cooking modern EUR,gas,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid cooking modern EUR,refined liquids,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid cooking modern EUR,district heat,0,0,0,0,0,0,0,0,0,0
resid hot water modern EUR,biomass,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid hot water coal EUR,coal,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid hot water modern EUR,resistance,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid hot water modern EUR,gas,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid hot water modern EUR,refined liquids,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid hot water modern EUR,district heat,0,0,0,0,0,0,0,0,0,0
resid hot water modern EUR,heat pump,0,0,0,0.014,0.012,0.0025,0.0005,0.0005,0.0005,0.0005
resid hot water modern EUR,solar thermal,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid other appliance modern EUR,electricity,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid others modern EUR,biomass,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid others coal EUR,coal,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid others modern EUR,electricity,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
resid others modern EUR,gas,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid others modern EUR,refined liquids,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
resid others modern EUR,district heat,0,0,0,0,0,0,0,0,0,0
comm EUR,comm shell,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004
comm heating EUR,biomass,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
comm heating EUR,coal,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
comm heating EUR,gas,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
comm heating EUR,refined liquids,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
comm heating EUR,district heat,0,0,0,0,0,0,0,0,0,0
comm heating EUR,resistance,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
comm heating EUR,air-air pump south,0,0,0,0.012,0.018,0.006,0.0015,0.0015,0.0015,0.0015
comm heating EUR,air-air pump middle south,0,0,0,0.012,0.018,0.006,0.0015,0.0015,0.0015,0.0015
comm heating EUR,air-air pump middle north,0,0,0,0.012,0.018,0.006,0.0015,0.0015,0.0015,0.0015
comm heating EUR,air-air pump north,0,0,0,0.012,0.018,0.006,0.0015,0.0015,0.0015,0.0015
comm heating EUR,air-water pump south,0,0,0,0.012,0.007,0.002,0.0005,0.0005,0.0005,0.0005
comm heating EUR,air-water pump middle south,0,0,0,0.012,0.007,0.002,0.0005,0.0005,0.0005,0.0005
comm heating EUR,air-water pump middle north,0,0,0,0.012,0.007,0.002,0.0005,0.0005,0.0005,0.0005
comm heating EUR,air-water pump north,0,0,0,0.012,0.007,0.002,0.0005,0.0005,0.0005,0.0005
comm heating EUR,geo-water pump,0,0,0,0.01,0.014,0.0025,0.001,0.001,0.001,0.001
comm heating EUR,solar thermal,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
comm cooling EUR,electricity,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
comm cooling EUR,gas,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
comm others EUR,biomass,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
comm others EUR,coal,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
comm others EUR,electricity,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
comm others EUR,gas,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
comm others EUR,refined liquids,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
comm others EUR,district heat,0,0,0,0,0,0,0,0,0,0
resid heating modern EUR,hydrogen,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
resid others modern EUR,hydrogen,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
comm heating EUR,hydrogen,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
comm others EUR,hydrogen,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
