# File: A44.cost_efficiency_EUR.csv
# Title: Base costs and efficiencies of building technologies
# Units: lifetime in years; costs in 2020€; unitless for efficiency and rate
# Column types: ccciiinnn 
# ----------
supplysector,subsector,technology,installed cost,lifetime,O&M cost,efficiency,UEC,shutdown.rate
resid heating modern EUR,biomass,biomass,500,15,100,0.4,150,0.024
resid heating coal EUR,coal,coal,500,15,100,0.5,120,0.024
resid heating modern EUR,gas,gas,1500,20,50,0.8,70.1575,0.024
resid heating modern EUR,gas,hydrogen,1650,20,50,0.8,70.1575,0.024
resid heating modern EUR,electricity,electricity,2000,20,50,0.95,78.94736842,0.024
resid heating modern EUR,refined liquids,refined liquids,1500,15,100,0.8,68.75,0.024
resid heating modern EUR,district heat,district heat,500,20,20,0.9,44.44444444,0.024
resid cooling modern EUR,electricity,electricity,2000,15,100,2.63,7.0092,0.034
resid cooling modern EUR,gas,gas,2500,15,100,0.83,15.6626506,0.034
resid hot water modern EUR,biomass,biomass,2000,15,150,0.4,260,0.024
resid hot water coal EUR,coal,coal,750,15,75,0.5,100,0.027
resid hot water modern EUR,gas,gas,1500,15,45,0.7,60,0.027
resid hot water modern EUR,electricity,electricity,2000,15,50,0.95,50,0.027
resid hot water modern EUR,refined liquids,refined liquids,1500,10,75,0.7,60,0.027
resid hot water modern EUR,district heat,district heat,1250,20,20,0.9,100,0.024
resid other appliance modern EUR,electricity,electricity,2000,15,50,0.95,50,0.027
resid cooking modern EUR,biomass,biomass,2000,15,150,0.4,260,0.024
resid cooking coal EUR,coal,coal,750,15,75,0.5,100,0.027
resid cooking modern EUR,electricity,electricity,2000,15,50,0.95,50,0.027
resid cooking modern EUR,gas,gas,1500,15,45,0.7,60,0.027
resid cooking modern EUR,refined liquids,refined liquids,1500,10,75,0.7,60,0.027
resid others modern EUR,biomass,biomass,1000,10,25,0.3,66.66666667,0.029
resid others coal EUR,coal,coal,1000,10,25,0.4,75,0.029
resid others modern EUR,gas,gas,1500,10,20,0.6,50,0.029
resid others modern EUR,gas,hydrogen,1650,10,20,0.6,50,0.029
resid others modern EUR,electricity,electricity,1500,10,20,0.95,36.84210526,0.029
resid others modern EUR,refined liquids,refined liquids,1500,10,50,0.6,50,0.029
comm heating EUR,biomass,biomass,2000,20,200,0.4,375,0.024
comm heating EUR,coal,coal,2000,20,200,0.5,300,0.024
comm heating EUR,gas,gas,5000,25,200,0.79,211,0.024
comm heating EUR,gas,hydrogen,5500,25,200,0.79,211,0.024
comm heating EUR,electricity,electricity,5000,25,200,0.95,210.5263158,0.024
comm heating EUR,refined liquids,refined liquids,5000,25,200,0.82,182.9268293,0.024
comm heating EUR,district heat,district heat,2000,20,20,0.9,166.6666667,0.024
comm cooling EUR,gas,gas,4000,15,200,0.83,60.24096386,0.034
comm cooling EUR,electricity,electricity,4450,15,153,2.73,35.046,0.034
comm others EUR,biomass,biomass,2000,10,50,0.3,133.3333333,0.029
comm others EUR,coal,coal,2000,10,50,0.4,150,0.029
comm others EUR,gas,gas,3000,10,100,0.6,108.3333333,0.029
comm others EUR,gas,hydrogen,3300,10,100,0.6,108.3333333,0.029
comm others EUR,electricity,electricity,3000,10,50,0.95,73.68421053,0.029
comm others EUR,refined liquids,refined liquids,3000,10,100,0.6,100,0.029
comm others EUR,district heat,district heat,2000,20,50,0.9,66.66666667,0.029
