# File: A44.demand_satiation_mult_EUR.csv
# Title: Assumed increase in demand of services in USA
# Units: Increase in demand per unit floorspace
# Column types: ccn
# ----------
supplysector,agg.service,multiplier
resid heating modern EUR,resid heating EUR,1.1
resid heating coal EUR,resid heating EUR,1.1
resid cooling modern EUR,resid cooling EUR,1.1
resid cooking modern EUR,resid cooking EUR,1.1
resid cooking coal EUR,resid cooking EUR,1.1
resid other appliance modern EUR,resid other appliance EUR,1.1
resid hot water modern EUR,resid hot water EUR,1.1
resid hot water coal EUR,resid hot water EUR,1.1
resid others modern EUR,resid others EUR,1.3
resid others coal EUR,resid others EUR,1.3
comm heating EUR,comm heating EUR,1.1
comm cooling EUR,comm cooling EUR,1.1
comm others EUR,comm others EUR,1.3
