# File: A44.en_consumption_shares_hp_EUR.csv
# Title: Heatpump shares across deciles
# Units: NA
# Source: BC3 - based on Prescott Morley's model
# Column types: ccccnnnnnn
# ----------
region,decile,GCAM_region_ID,consumption.category,liquidity,blend,smoothed,engel,quadratic,engel_eps
Belgium,d1,29,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
Belgium,d2,29,air,0.00000,0.00418,0.03647,0.04178,0.01242,1
Belgium,d3,29,air,0.08864,0.08531,0.04860,0.05529,0.02176,1
Belgium,d4,29,air,0.09744,0.09438,0.06107,0.06680,0.03177,1
Belgium,d5,29,air,0.10551,0.10279,0.07541,0.07832,0.04366,1
Belgium,d6,29,air,0.11365,0.11138,0.09278,0.09089,0.05880,1
Belgium,d7,29,air,0.12244,0.12075,0.11428,0.10549,0.07921,1
Belgium,d8,29,air,0.13338,0.13256,0.14297,0.12517,0.11151,1
Belgium,d9,29,air,0.14826,0.14890,0.17892,0.15466,0.17025,1
Belgium,d10,29,air,0.19069,0.19720,0.22411,0.25585,0.46590,1
Bulgaria,d1,30,air,0.00000,0.00282,0.00375,0.00000,0.00582,6.5712
Bulgaria,d2,30,air,0.00000,0.00451,0.00593,0.00001,0.01488,6.5712
Bulgaria,d3,30,air,0.00000,0.00578,0.00835,0.00006,0.02441,6.5712
Bulgaria,d4,30,air,0.00000,0.00687,0.01120,0.00020,0.03448,6.5712
Bulgaria,d5,30,air,0.00000,0.00799,0.01515,0.00054,0.04667,6.5712
Bulgaria,d6,30,air,0.00000,0.00919,0.02089,0.00135,0.06172,6.5712
Bulgaria,d7,30,air,0.00000,0.01050,0.02960,0.00323,0.08050,6.5712
Bulgaria,d8,30,air,0.00000,0.01231,0.04779,0.00919,0.11066,6.5712
Bulgaria,d9,30,air,0.00000,0.01511,0.09876,0.03541,0.16684,6.5712
Bulgaria,d10,30,air,1.00000,0.92493,0.75857,0.95000,0.45403,6.5712
Croatia,d1,31,air,0.00000,0.00171,0.00425,0.00287,0.00155,1.763
Croatia,d2,31,air,0.00000,0.00301,0.00536,0.00778,0.00482,1.763
Croatia,d3,31,air,0.00000,0.00402,0.00642,0.01298,0.00861,1.763
Croatia,d4,31,air,0.00000,0.00505,0.00771,0.01941,0.01360,1.763
Croatia,d5,31,air,0.00000,0.00619,0.00944,0.02777,0.02041,1.763
Croatia,d6,31,air,0.00000,0.00755,0.01201,0.03936,0.03032,1.763
Croatia,d7,31,air,0.00000,0.00928,0.01633,0.05671,0.04588,1.763
Croatia,d8,31,air,0.00000,0.01182,0.02556,0.08681,0.07438,1.763
Croatia,d9,31,air,0.40296,0.37874,0.05375,0.14928,0.13756,1.763
Croatia,d10,31,air,0.59704,0.57262,0.85919,0.59704,0.66288,1.763
Cyprus,d1,32,air,0.00000,0.00282,0.01360,0.00873,0.00582,1.759
Cyprus,d2,32,air,0.00000,0.00451,0.02110,0.01994,0.01488,1.759
Cyprus,d3,32,air,0.00000,0.00578,0.02913,0.03082,0.02441,1.759
Cyprus,d4,32,air,0.00000,0.00687,0.03818,0.04175,0.03448,1.759
Cyprus,d5,32,air,0.00000,0.00799,0.05007,0.05450,0.04667,1.759
Cyprus,d6,32,air,0.00000,0.00919,0.06610,0.06968,0.06172,1.759
Cyprus,d7,32,air,0.00000,0.01050,0.08797,0.08802,0.08050,1.759
Cyprus,d8,32,air,0.28318,0.26717,0.12600,0.11644,0.11066,1.759
Cyprus,d9,32,air,0.31379,0.29752,0.19787,0.16709,0.16684,1.759
Cyprus,d10,32,air,0.40303,0.38765,0.36998,0.40303,0.45402,1.759
Czech Republic,d1,33,air,0.00000,0.00282,0.01980,0.02453,0.00582,1.0968
Czech Republic,d2,33,air,0.00000,0.00451,0.03008,0.04105,0.01488,1.0968
Czech Republic,d3,33,air,0.00000,0.00578,0.04065,0.05386,0.02441,1.0968
Czech Republic,d4,33,air,0.00000,0.00687,0.05202,0.06508,0.03448,1.0968
Czech Republic,d5,33,air,0.00000,0.00799,0.06618,0.07684,0.04667,1.0968
Czech Republic,d6,33,air,0.16247,0.15542,0.08398,0.08957,0.06172,1.0968
Czech Republic,d7,33,air,0.17363,0.16676,0.10613,0.10362,0.08050,1.0968
Czech Republic,d8,33,air,0.18800,0.18151,0.13980,0.12337,0.11066,1.0968
Czech Republic,d9,33,air,0.20833,0.20260,0.19057,0.15452,0.16684,1.0968
Czech Republic,d10,33,air,0.26757,0.26574,0.27079,0.26757,0.45403,1.0968
Denmark,d1,34,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
Denmark,d2,34,air,0.07154,0.06857,0.03647,0.04178,0.01242,1
Denmark,d3,34,air,0.08230,0.07960,0.04860,0.05529,0.02176,1
Denmark,d4,34,air,0.09047,0.08810,0.06107,0.06680,0.03177,1
Denmark,d5,34,air,0.09796,0.09599,0.07541,0.07832,0.04366,1
Denmark,d6,34,air,0.10552,0.10406,0.09278,0.09089,0.05880,1
Denmark,d7,34,air,0.11368,0.11287,0.11428,0.10549,0.07921,1
Denmark,d8,34,air,0.12383,0.12397,0.14297,0.12517,0.11151,1
Denmark,d9,34,air,0.13765,0.13935,0.17892,0.15466,0.17025,1
Denmark,d10,34,air,0.17704,0.18492,0.22411,0.25585,0.46590,1
Estonia,d1,35,air,0.00000,0.00282,0.00375,0.00000,0.00582,6.5712
Estonia,d2,35,air,0.00000,0.00451,0.00593,0.00001,0.01488,6.5712
Estonia,d3,35,air,0.00000,0.00578,0.00835,0.00006,0.02441,6.5712
Estonia,d4,35,air,0.00000,0.00687,0.01120,0.00020,0.03448,6.5712
Estonia,d5,35,air,0.00000,0.00799,0.01515,0.00054,0.04667,6.5712
Estonia,d6,35,air,0.00000,0.00919,0.02089,0.00135,0.06172,6.5712
Estonia,d7,35,air,0.00000,0.01050,0.02961,0.00323,0.08050,6.5712
Estonia,d8,35,air,0.00000,0.01231,0.04779,0.00919,0.11066,6.5712
Estonia,d9,35,air,0.00000,0.01511,0.09877,0.03541,0.16684,6.5712
Estonia,d10,35,air,1.00000,0.92493,0.75857,0.95000,0.45402,6.5712
Finland,d1,36,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
Finland,d2,36,air,0.07154,0.06857,0.03647,0.04178,0.01242,1
Finland,d3,36,air,0.08230,0.07960,0.04860,0.05529,0.02176,1
Finland,d4,36,air,0.09047,0.08810,0.06107,0.06680,0.03177,1
Finland,d5,36,air,0.09796,0.09599,0.07541,0.07832,0.04366,1
Finland,d6,36,air,0.10552,0.10406,0.09278,0.09089,0.05880,1
Finland,d7,36,air,0.11368,0.11287,0.11428,0.10549,0.07921,1
Finland,d8,36,air,0.12383,0.12397,0.14297,0.12517,0.11151,1
Finland,d9,36,air,0.13765,0.13935,0.17892,0.15466,0.17025,1
Finland,d10,36,air,0.17704,0.18492,0.22411,0.25585,0.46590,1
France,d1,37,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
France,d2,37,air,0.00000,0.00418,0.03647,0.04178,0.01242,1
France,d3,37,air,0.08864,0.08531,0.04860,0.05529,0.02176,1
France,d4,37,air,0.09744,0.09438,0.06107,0.06680,0.03177,1
France,d5,37,air,0.10551,0.10279,0.07541,0.07832,0.04366,1
France,d6,37,air,0.11365,0.11138,0.09278,0.09089,0.05880,1
France,d7,37,air,0.12244,0.12075,0.11428,0.10549,0.07921,1
France,d8,37,air,0.13338,0.13256,0.14297,0.12517,0.11151,1
France,d9,37,air,0.14826,0.14890,0.17892,0.15466,0.17025,1
France,d10,37,air,0.19069,0.19720,0.22411,0.25585,0.46590,1
Germany,d1,38,air,0.00000,0.00258,0.02540,0.02576,0.00472,1
Germany,d2,38,air,0.00000,0.00418,0.03647,0.04178,0.01242,1
Germany,d3,38,air,0.08864,0.08531,0.04860,0.05529,0.02176,1
Germany,d4,38,air,0.09744,0.09438,0.06107,0.06680,0.03177,1
Germany,d5,38,air,0.10551,0.10279,0.07541,0.07832,0.04366,1
Germany,d6,38,air,0.11365,0.11138,0.09278,0.09089,0.05880,1
Germany,d7,38,air,0.12244,0.12075,0.11428,0.10549,0.07921,1
Germany,d8,38,air,0.13338,0.13256,0.14297,0.12517,0.11151,1
Germany,d9,38,air,0.14826,0.14890,0.17892,0.15466,0.17025,1
Germany,d10,38,air,0.19069,0.19720,0.22411,0.25585,0.46590,1
Greece,d1,39,air,0.00000,0.00258,0.01345,0.00795,0.00472,1.7107
Greece,d2,39,air,0.00000,0.00418,0.02008,0.01818,0.01242,1.7107
Greece,d3,39,air,0.00000,0.00553,0.02797,0.02937,0.02176,1.7107
Greece,d4,39,air,0.00000,0.00668,0.03687,0.04059,0.03177,1.7107
Greece,d5,39,air,0.00000,0.00783,0.04823,0.05329,0.04366,1.7107
Greece,d6,39,air,0.00000,0.00909,0.06395,0.06873,0.05880,1.7107
