# File: A44.globaltech_cost_EUR.csv
# Title: Building technology costs per service for gcameurope
# Units: 1975$/GJ
# Source: Same as gcamusa A44.globaltech_eff. District heat have been added, as well as some biomass and coal technologies for different supplysectors. Unpublished inputs to the NEMS model, as well as some biomass and coal technologies for different supplysectors. Unpublished inputs to the NEMS model
# Column types: cccn
# ----------
supplysector,subsector,technology,NEcostPerService
resid heating modern EUR,biomass,biomass,0.9417305
resid heating coal EUR,coal,coal,0.9417305
resid heating modern EUR,gas,gas,1.3739374
resid heating modern EUR,gas,hydrogen,1.4809598
resid heating modern EUR,refined liquids,refined liquids,1.8423003
resid heating modern EUR,district heat,district heat,0.6710238
resid heating modern EUR,electricity,resistance,1.5
resid heating modern EUR,electricity,air-air pump south,1.5
resid heating modern EUR,electricity,air-air pump middle south,1.5
resid heating modern EUR,electricity,air-air pump middle north,1.5
resid heating modern EUR,electricity,air-air pump north,1.5
resid heating modern EUR,water heat pump,air-water pump south,1.5
resid heating modern EUR,water heat pump,air-water pump middle south,1.5
resid heating modern EUR,water heat pump,air-water pump middle north,1.5
resid heating modern EUR,water heat pump,air-water pump north,1.5
resid heating modern EUR,water heat pump,geo-water pump,1.5
resid heating modern EUR,water heat pump,solar thermal,1.5
resid cooling modern EUR,electricity,electricity,6.712409
resid cooling modern EUR,gas,gas,11.242246
resid hot water modern EUR,biomass,biomass,0.9417305
resid hot water coal EUR,coal,coal,0.9417305
resid hot water modern EUR,gas,gas,1.3739374
resid hot water modern EUR,electricity,resistance,5.502
resid hot water modern EUR,refined liquids,refined liquids,9.879
resid hot water modern EUR,district heat,district heat,1.2951476
resid hot water modern EUR,water heat pump,heat pump,1.5
resid hot water modern EUR,water heat pump,solar thermal,1.5
resid other appliance modern EUR,electricity,electricity,1.2951476
resid cooking modern EUR,biomass,biomass,0.9417305
resid cooking coal EUR,coal,coal,0.9417305
resid cooking modern EUR,electricity,electricity,1.2951476
resid cooking modern EUR,gas,gas,1.3739374
resid cooking modern EUR,refined liquids,refined liquids,1.8423003
resid others modern EUR,biomass,biomass,3.200354
resid others coal EUR,coal,coal,2.1335694
resid others modern EUR,gas,gas,3.0014812
resid others modern EUR,gas,hydrogen,3.278901
resid others modern EUR,electricity,electricity,2.5726981
resid others modern EUR,refined liquids,refined liquids,3.3424061
comm heating EUR,biomass,biomass,0.9884987
comm heating EUR,coal,coal,0.9884987
comm heating EUR,gas,gas,1.5356661
comm heating EUR,gas,hydrogen,1.6483274
comm heating EUR,refined liquids,refined liquids,1.7065345
comm heating EUR,district heat,district heat,0.5793888
comm heating EUR,electricity,resistance,1.5
comm heating EUR,electricity,air-air pump south,1.5
comm heating EUR,electricity,air-air pump middle south,1.5
comm heating EUR,electricity,air-air pump middle north,1.5
comm heating EUR,electricity,air-air pump north,1.5
comm heating EUR,water heat pump,air-water pump south,1.5
comm heating EUR,water heat pump,air-water pump middle south,1.5
comm heating EUR,water heat pump,air-water pump middle north,1.5
comm heating EUR,water heat pump,air-water pump north,1.5
comm heating EUR,water heat pump,geo-water pump,1.5
comm heating EUR,water heat pump,solar thermal,1.5
comm cooling EUR,gas,gas,2.629955
comm cooling EUR,electricity,electricity,4.949514
comm others EUR,biomass,biomass,3.200354
comm others EUR,coal,coal,2.133569
comm others EUR,gas,gas,3.085298
comm others EUR,gas,hydrogen,3.341378
comm others EUR,electricity,electricity,2.621402
comm others EUR,refined liquids,refined liquids,3.342406
comm others EUR,district heat,district heat,1.618934
