# File: A44.globaltech_retirement_EUR.csv
# Title: Electricity technology retirement parameters
# Units: Years for lifetime and half.life; Unitless for shutdown.rate; steepness; median.shutdown.point; profit.shutdown.steepness
# Source: GCAM assumptions; generally consistent with other models
# Comments: lifetime: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years.
#           shutdown.rate: portion of cohort retired each year; used by the phased-shutdown-decider retirement function.
#           half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function.
#           steepness: shape parameter used by the s-curve-shutdown-decider retirement function.
#           median.shutdown.point: Profit-ratio ((revenue - costs) / costs) at which 50% of cohort is shut down by profit shutdown decider. Only variable costs.
#           profit.shutdown.steepness: shape parameter of profit-shutdown-decider function.
# Column types: ccccicnnni 
# ----------
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
comm cooling EUR,electricity,electricity,final-calibration-year,,,,0.1219,-0.5,6
comm cooling EUR,gas,gas,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,biomass,biomass,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,coal,coal,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,district heat,district heat,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,electricity,air-air pump middle north,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,electricity,resistance,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,gas,gas,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,gas,hydrogen,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,refined liquids,refined liquids,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,water heat pump,air-water pump middle north,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,water heat pump,geo-water pump,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,water heat pump,solar thermal,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,electricity,air-air pump south,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,water heat pump,air-water pump south,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,electricity,air-air pump middle south,final-calibration-year,,,,0.1219,-0.5,6
comm heating EUR,water heat pump,air-water pump middle south,final-calibration-year,,,,0.1219,-0.5,6
