# File: A44.shares_hp_EUR.csv
# Title: Heat pumps share among deciles for EUR countries 
# Units: Rate in relation to D10 (1 indicates that has the same share as D10)
# Source: Prescott - DIAMOND July 2026
# Comments: UEC = unit energy consumption. Before efficiency correction e.g. 60 units useful energy for heating devices
# Column types: ncnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
decile,technology,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
1,air-water pump south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,air-water pump middle south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,air-water pump middle north,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,1,0,0,0,0,0,0,0,0,0
1,air-water pump north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,geo-water pump,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,1,0,0,0,0,0,0,0,0,0
1,solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
2,air-water pump south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,air-water pump middle south,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,air-water pump middle north,0,0,0,0,0,0,1,0,0,0,0,0,0,0.63,0,0,0,1,0,0.99,0,0,0,0,0,0,0
2,air-water pump north,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,geo-water pump,0,0,0,0,0,0,1,0,0,0,0,0,0,0.63,0,0,0,1,0,0,0,0,0,0,0,0,1
2,solar thermal,0,0,0,0,0,0,1,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,1
3,air-water pump south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,air-water pump middle south,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,air-water pump middle north,0,1,0,0,0,0,1,0,0,0,1,0,0,0.76,0,0,0,1.01,0,1,0,0,0,0,0,0,0
3,air-water pump north,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
