# File: A44.subsector_interp_EUR.csv
# Title: Building default subsector shareweight interpolation
# Units: NA
# Column types: ccccccc
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
resid heating modern EUR,biomass,share-weight,final-calibration-year,end-year,,fixed
resid heating coal EUR,coal,share-weight,final-calibration-year,end-year,,fixed
resid heating modern EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
resid heating modern EUR,gas,share-weight,final-calibration-year,end-year,,fixed
resid heating modern EUR,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid heating modern EUR,district heat,share-weight,final-calibration-year,end-year,,fixed
resid heating modern EUR,water heat pump,share-weight,final-calibration-year,end-year,,fixed
resid cooling modern EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
resid cooling modern EUR,gas,share-weight,final-calibration-year,end-year,,fixed
resid cooking modern EUR,biomass,share-weight,final-calibration-year,end-year,,fixed
resid cooking coal EUR,coal,share-weight,final-calibration-year,end-year,,fixed
resid cooking modern EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
resid cooking modern EUR,gas,share-weight,final-calibration-year,end-year,,fixed
resid cooking modern EUR,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid hot water modern EUR,biomass,share-weight,final-calibration-year,end-year,,fixed
resid hot water coal EUR,coal,share-weight,final-calibration-year,end-year,,fixed
resid hot water modern EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
resid hot water modern EUR,gas,share-weight,final-calibration-year,end-year,,fixed
resid hot water modern EUR,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid hot water modern EUR,district heat,share-weight,final-calibration-year,end-year,,fixed
resid hot water modern EUR,renewable,share-weight,final-calibration-year,end-year,,fixed
resid other appliance modern EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
resid others modern EUR,biomass,share-weight,final-calibration-year,end-year,,fixed
resid others coal EUR,coal,share-weight,final-calibration-year,end-year,,fixed
resid others modern EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
resid others modern EUR,gas,share-weight,final-calibration-year,end-year,,fixed
resid others modern EUR,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm heating EUR,biomass,share-weight,final-calibration-year,end-year,,fixed
comm heating EUR,coal,share-weight,final-calibration-year,end-year,,fixed
comm heating EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
comm heating EUR,gas,share-weight,final-calibration-year,end-year,,fixed
comm heating EUR,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm heating EUR,district heat,share-weight,final-calibration-year,end-year,,fixed
comm heating EUR,water heat pump,share-weight,final-calibration-year,end-year,,fixed
comm cooling EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
comm cooling EUR,gas,share-weight,final-calibration-year,end-year,,fixed
comm others EUR,biomass,share-weight,final-calibration-year,end-year,,fixed
comm others EUR,coal,share-weight,final-calibration-year,end-year,,fixed
comm others EUR,electricity,share-weight,final-calibration-year,end-year,,fixed
comm others EUR,gas,share-weight,final-calibration-year,end-year,,fixed
comm others EUR,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm others EUR,district heat,share-weight,final-calibration-year,end-year,,fixed
