# File: A44.subsector_logit_EUR.csv
# Title: Building default subsector logit exponents
# Units: Unitless
# Column types: ccic
# ----------
supplysector,subsector,logit.exponent,logit.type
resid heating modern EUR,biomass,-6,
resid heating coal EUR,coal,-6,
resid heating modern EUR,electricity,-6,
resid heating modern EUR,gas,-6,
resid heating modern EUR,refined liquids,-6,
resid heating modern EUR,district heat,-6,
resid cooling modern EUR,electricity,-6,
resid cooling modern EUR,gas,-6,
resid cooking modern EUR,biomass,-6,
resid cooking coal EUR,coal,-6,
resid cooking modern EUR,electricity,-6,
resid cooking modern EUR,gas,-6,
resid cooking modern EUR,refined liquids,-6,
resid other appliance modern EUR,electricity,-6,
resid hot water modern EUR,biomass,-6,
resid hot water coal EUR,coal,-6,
resid hot water modern EUR,electricity,-6,
resid hot water modern EUR,gas,-6,
resid hot water modern EUR,refined liquids,-6,
resid hot water modern EUR,district heat,-6,
resid others modern EUR,biomass,-6,
resid others coal EUR,coal,-6,
resid others modern EUR,electricity,-6,
resid others modern EUR,gas,-6,
resid others modern EUR,refined liquids,-6,
comm heating EUR,biomass,-6,
comm heating EUR,coal,-6,
comm heating EUR,electricity,-6,
comm heating EUR,gas,-6,
comm heating EUR,refined liquids,-6,
comm heating EUR,district heat,-6,
comm cooling EUR,electricity,-6,
comm cooling EUR,gas,-6,
comm others EUR,biomass,-6,
comm others EUR,coal,-6,
comm others EUR,electricity,-6,
comm others EUR,gas,-6,
comm others EUR,refined liquids,-6,
comm others EUR,district heat,-6,
