# File: A_agRegionalSector_EEA.csv
# Title: Supplysector assumptions for regional agricultural markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete domestic production and imports from the globally traded markets (source: GTAP)
# Source: NA
# Column types: ccccnc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
total corn,Mt,Mt,1975$/kg,-12,
total fibercrop,Mt,Mt,1975$/kg,-12,
total fruits,Mt,Mt,1975$/kg,-12,
total legumes,Mt,Mt,1975$/kg,-12,
total misccrop,Mt,Mt,1975$/kg,-12,
total nuts_seeds,Mt,Mt,1975$/kg,-12,
total oilcrop,Mt,Mt,1975$/kg,-12,
total othergrain,Mt,Mt,1975$/kg,-12,
total oilpalm,Mt,Mt,1975$/kg,-12,
total rice,Mt,Mt,1975$/kg,-12,
total root_tuber,Mt,Mt,1975$/kg,-12,
total soybean,Mt,Mt,1975$/kg,-12,
total sugarcrop,Mt,Mt,1975$/kg,-12,
total vegetables,Mt,Mt,1975$/kg,-12,
total wheat,Mt,Mt,1975$/kg,-12,
total beef,Mt,Mt,1975$/kg,-12,
total dairy,Mt,Mt,1975$/kg,-12,
total pork,Mt,Mt,1975$/kg,-12,
total poultry,Mt,Mt,1975$/kg,-12,
total sheepgoat,Mt,Mt,1975$/kg,-12,
regional sawnwood,billion m3,billion m3,1975$/m3,-12,
regional woodpulp,billion tons,billion tonnes,1975$/ton,-12,
regional industrial_roundwood,billion m3,billion m3,1975$/m3,-12,
