# File: EU_AGR_OUTLOOK_biofuel_production.csv
# Title: EU-28 (EU + UK) biofuel production volumes by source (2012-2022)
# Units: Mtoe
# Source: EU Agricultural outlook 2019-2030, Table 9.22," EU Agricultural outlook 2022-2032 Table 8.20"""
# Column types: ccccnnnnnnnnnnnnn 
# ----------
Region,Biofuel,Crop,Source,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EU-27,ethanol,Wheat,Domestic,1,1,1,1,1,0.9,1,1,0.9,1,0.7,0.7,0.7
EU-27,ethanol,Corn,Domestic,1,1,0.7,0.8,1.1,0.9,1,1,0.9,1,1.4,1.4,1.4
EU-27,ethanol,Other cereal,Domestic,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
EU-27,ethanol,Sugar beet,Domestic,0.9,0.8,0.9,0.9,1,1.1,0.7,0.8,0.7,0.8,0.6,0.6,0.6
EU-27,ethanol,Advanced,Domestic,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
EU-27,biodiesel,Rapeseed,Domestic,4.9,4.9,4.9,5.2,6,5.6,5.3,6,5.8,5.8,5.8,5.8,5.8
EU-27,biodiesel,Palm oil,Domestic,2.2,2.2,2.2,2.4,2.7,2.5,2.4,2.7,2.6,2.5,3,3,3
EU-27,biodiesel,Other vegetable oil,Domestic,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8
EU-27,biodiesel,Recycled vegetable oil,Domestic,0.9,0.9,0.9,1.2,1.6,1.7,2.1,2.2,2.4,2.5,3.1,3.1,3.1
EU-27,biodiesel,Advanced,Domestic,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.8,0.8,0.8
EU-27,ethanol,,Imported,0.9,1,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.5,0.6,0.6,0.6
EU-27,biodiesel,,Imported,1.3,2.7,2.9,1.5,0.6,0.6,0.7,1.2,3.2,2.7,3,3,3
