# File: JRC_trn_data.csv
# Title: JRC-specific assumptions to layer into UCD_trn_data_CORE.csv database
# Units: Various
# Column types: ccccccccnnnnnnnnnnnnnnnnnnn
# Source: The JRC Integrated Database of the European Energy System. JRC-IDEES. https://data.jrc.ec.europa.eu/collection/id-0110
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,Passenger,LDV_4W,Car,BEV,Electricity,intensity,kgoe / kpkm,,,,11.25127776,11.19704925,11.18907634,11.19523646,11.16959559,11.233197,11.04488202,11.52584062,11.45833642,11.274171,11.44379897,11.99222127,12.72341527,12.87838592,13.06645959,13.14326603
Austria,Passenger,LDV_4W,Car,FCEV,Hydrogen,intensity,,,,,,,,,,,,,,,,,,,,
Austria,Passenger,LDV_4W,Car,Hybrid Liquids,Gasoline,intensity,kgoe / kpkm,,,,,,,30.00127879,24.62952527,20.5307618,22.51626484,26.78703322,31.79632986,33.0892759,34.19266667,34.44303726,32.34872008,30.02066192,28.81922101,29.08237515
Austria,Passenger,LDV_4W,Car,Liquids,LPG,intensity,kgoe / kpkm,59.11162168,58.0782957,58.63594416,58.18580942,60.39910407,59.47658553,56.63216154,58.14509984,57.78469236,54.7962206,53.62781906,60.06169248,64.24330223,60.10653638,68.32145612,56.5100682,40.82084012,61.07532089,60.91095489
Austria,Passenger,LDV_4W,Car,Liquids,Diesel,intensity,kgoe / kpkm,71.11171954,69.06020093,68.69046989,64.68325862,64.8271633,65.14852769,62.2603816,61.80969246,62.81318651,61.55394671,60.99042937,59.95981076,59.05009056,59.06430787,58.44452725,58.60657583,57.0897357,53.92942639,52.72862255
Austria,Passenger,LDV_4W,Car,Liquids,Gasoline,intensity,kgoe / kpkm,66.76225587,66.78420041,67.71864766,64.92076836,64.21796284,63.48529004,60.86665579,59.91052392,59.56487311,59.77135653,60.99706146,60.7590911,59.96442203,59.3638304,57.53346846,56.80923324,55.05569064,52.82774283,55.64681625
Austria,Passenger,LDV_4W,Car,NG,Natural Gas,intensity,kgoe / kpkm,,58.94165787,58.43668914,54.05303566,53.72288152,56.07088818,57.37932753,57.36435375,55.26201276,53.2014406,52.01242586,51.11951892,50.45385111,49.69444384,49.11696949,49.16955906,47.58308296,47.12318128,46.66462557
Austria,Passenger,Bus,All,Liquids,Gasoline,intensity,kgoe / kpkm,25.24944332,24.3460586,24.39454434,24.19058262,24.60371719,25.86792765,24.38955353,24.79319024,23.63226187,22.19141672,22.19306137,21.61911162,21.58788089,21.85781911,21.92414283,22.43501531,22.38448257,20.69014157,19.43468732
Austria,Passenger,Bus,All,Liquids,Diesel,intensity,kgoe / kpkm,28.11190252,27.04889063,27.97978148,27.917374,28.82613137,30.25226532,29.24862246,29.7385943,29.77190446,29.99203483,30.13193865,30.09078418,30.1656892,30.62704192,30.6968111,37.32380269,35.81289148,29.18991037,27.71918031
Austria,Passenger,Bus,All,Liquids,LPG,intensity,kgoe / kpkm,22.95559498,22.27487488,23.21419102,23.31307766,24.20799145,25.48979769,24.69766384,25.11405537,25.11125994,25.22504495,25.29470209,25.19578069,25.20045457,25.53908148,25.89300888,31.54649664,30.30881418,24.6625336,23.5706446
Austria,Passenger,Bus,All,NG,Natural Gas,intensity,kgoe / kpkm,32.96981684,27.96002274,27.11872887,27.86221599,25.56386046,25.85045087,22.11843093,22.03447053,20.60794596,20.98433254,20.81711313,25.50334008,25.5231914,25.88505247,26.00739203,31.71783547,30.80631978,25.31533764,24.37157968
Austria,Passenger,Bus,All,BEV,Electricity,energy,ktoe,1.34870041,1.371635763,1.256834725,1.254505464,1.314111181,1.394715629,1.425999779,1.536222702,1.687837361,1.587829804,1.669193501,1.795565532,1.715694185,1.841587497,1.908743721,2.017305303,2.039997136,2.324237024,2.903705944
Austria,Passenger,Bus,All,BEV,Electricity,intensity,kgoe / kpkm,15.86305985,15.31674318,15.82886033,15.79886324,16.20564741,16.90204822,16.28946636,16.41799701,16.33672164,16.35932373,16.31863681,16.16618317,16.08112244,16.23222209,16.15834786,19.57302973,18.81129194,15.19262341,14.19089473
