# File: calibrated_techs_bld_det_EUR.csv
# Title: Mapping between intermediate sectors and fuels to the techs in buildings in gcameurope
# Units: NA
# Column types: cccccccccc 
# ----------
sector,fuel,service,supplysector,subsector,technology,minicam.energy.input,gcam.consumer,nodeInput,building.node.input
bld_resid,biomass,resid heating modern EUR,resid heating modern EUR,biomass,biomass,delivered biomass,resid EUR,resid EUR,resid_building
bld_resid,coal,resid heating coal EUR,resid heating coal EUR,coal,coal,delivered coal,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,electricity,electricity,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,gas,resid heating modern EUR,resid heating modern EUR,gas,gas,delivered gas,resid EUR,resid EUR,resid_building
bld_resid,refined liquids,resid heating modern EUR,resid heating modern EUR,refined liquids,refined liquids,refined liquids enduse,resid EUR,resid EUR,resid_building
bld_resid,heat,resid heating modern EUR,resid heating modern EUR,district heat,district heat,district heat,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,electricity,resistance,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,electricity,air-air pump south,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,electricity,air-air pump middle south,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,electricity,air-air pump middle north,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,electricity,air-air pump north,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,water heat pump,air-water pump south,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,water heat pump,air-water pump middle south,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,water heat pump,air-water pump middle north,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,water heat pump,air-water pump north,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid heating modern EUR,resid heating modern EUR,water heat pump,geo-water pump,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,global solar resource,resid heating modern EUR,resid heating modern EUR,water heat pump,solar thermal,global solar resource,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid cooling modern EUR,resid cooling modern EUR,electricity,electricity,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,gas,resid cooling modern EUR,resid cooling modern EUR,gas,gas,delivered gas,resid EUR,resid EUR,resid_building
bld_resid,biomass,resid cooking modern EUR,resid cooking modern EUR,biomass,biomass,delivered biomass,resid EUR,resid EUR,resid_building
bld_resid,coal,resid cooking coal EUR,resid cooking coal EUR,coal,coal,delivered coal,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid cooking modern EUR,resid cooking modern EUR,electricity,electricity,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,gas,resid cooking modern EUR,resid cooking modern EUR,gas,gas,delivered gas,resid EUR,resid EUR,resid_building
bld_resid,refined liquids,resid cooking modern EUR,resid cooking modern EUR,refined liquids,refined liquids,refined liquids enduse,resid EUR,resid EUR,resid_building
bld_resid,biomass,resid hot water modern EUR,resid hot water modern EUR,biomass,biomass,delivered biomass,resid EUR,resid EUR,resid_building
bld_resid,coal,resid hot water coal EUR,resid hot water coal EUR,coal,coal,delivered coal,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid hot water modern EUR,resid hot water modern EUR,electricity,electricity,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,gas,resid hot water modern EUR,resid hot water modern EUR,gas,gas,delivered gas,resid EUR,resid EUR,resid_building
bld_resid,refined liquids,resid hot water modern EUR,resid hot water modern EUR,refined liquids,refined liquids,refined liquids enduse,resid EUR,resid EUR,resid_building
bld_resid,heat,resid hot water modern EUR,resid hot water modern EUR,district heat,district heat,district heat,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid hot water modern EUR,resid hot water modern EUR,water heat pump,heat pump,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,global solar resource,resid hot water modern EUR,resid hot water modern EUR,water heat pump,solar thermal,global solar resource,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid other appliance modern EUR,resid other appliance modern EUR,electricity,electricity,elect_td_bld,resid EUR,resid EUR,resid_building
bld_resid,biomass,resid others modern EUR,resid others modern EUR,biomass,biomass,delivered biomass,resid EUR,resid EUR,resid_building
bld_resid,coal,resid others coal EUR,resid others coal EUR,coal,coal,delivered coal,resid EUR,resid EUR,resid_building
bld_resid,electricity,resid others modern EUR,resid others modern EUR,electricity,electricity,elect_td_bld,resid EUR,resid EUR,resid_building
