# File: elecS_fuel_fraction.csv
# Title: Fraction of electricity generation by fuel across horizontal load segments
# Units: unitless (fraction)
# Comments: This table provides initial estimates of the fractions of electricity generation by fuel by horizontal segment. The starting assumption is that 87.14% of coal is available for baseload generation and the remaining 12.85% is available for intermediate generation.
# Source: reasonable initial values for heuristic algorithm to begin
# Column types: ccn
# ----------
fuel,segment,fraction
biomass,base load generation,0.184604167
biomass,intermediate generation,0.2609979
biomass,peak generation,0.279659422
biomass,subpeak generation,0.274738511
coal,base load generation,0.191566344
coal,intermediate generation,0.227076669
coal,peak generation,0.333316776
coal,subpeak generation,0.24804021
gas,base load generation,0.133368251
gas,intermediate generation,0.187915024
gas,peak generation,0.412566292
gas,subpeak generation,0.266150433
geothermal,base load generation,0.186787904
geothermal,intermediate generation,0.258469225
geothermal,peak generation,0.283920753
geothermal,subpeak generation,0.270822118
hydro,base load generation,0.126900285
hydro,intermediate generation,0.186923121
hydro,peak generation,0.405526628
hydro,subpeak generation,0.280649966
nuclear,base load generation,0.178068774
nuclear,intermediate generation,0.252536652
nuclear,peak generation,0.28939584
nuclear,subpeak generation,0.279998734
refined liquids,base load generation,0.089996403
refined liquids,intermediate generation,0.166695526
refined liquids,peak generation,0.463448915
refined liquids,subpeak generation,0.279859156
solar,base load generation,0.677710221
solar,intermediate generation,0.198024825
solar,peak generation,0.043782785
solar,subpeak generation,0.08048217
wind,base load generation,0.241773576
wind,intermediate generation,0.284399544
wind,peak generation,0.227439675
wind,subpeak generation,0.246387206
