# File: estat_ilc_hcmh02_filtered_en.csv
# Title: Average size of dwelling by household type and degree of urbanisation
# Units: square meter
# Source: https://ec.europa.eu/eurostat/databrowser/view/ilc_hcmh02/default/table?lang=en&category=livcon.ilc.ilc_ahm.ilc_hcm
# Column types: cccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,unit,deg_urb,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,AT,2012,73.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,BE,2012,97.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,BG,2012,61.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,CH,2012,88.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,CY,2012,98.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,CZ,2012,61.1,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,DE,2012,69.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,DK,2012,88.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EA,2012,75.8,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EA18,2012,75.6,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EA19,2012,75.4,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EE,2012,51.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EL,2012,67.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,ES,2012,87.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EU,2012,76.8,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EU27_2007,2012,76.8,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EU27_2020,2012,72.3,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,EU28,2012,76.8,e
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,FI,2012,60.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,FR,2012,73.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,HR,2012,64.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,HU,2012,61.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,IE,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,IS,2012,89.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,IT,2012,80.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,LT,2012,52.7,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,LU,2012,101.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,LV,2012,48.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,MT,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,NL,2012,81.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,NO,2012,88.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,PL,2012,54.6,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,PT,2012,86.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,RO,2012,36.5,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,SE,2012,72.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,SI,2012,59.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,SK,2012,72.4,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A1,UK,2012,,u
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,AT,2012,102.8,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,BE,2012,132.2,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,BG,2012,71.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,CH,2012,124.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,CY,2012,127.0,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,CZ,2012,75.9,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,DE,2012,103.3,
dataflow,ESTAT:ILC_HCMH02(1.0),A,AVG,TOTAL,A2,DK,2012,131.5,
