# File: estat_ilc_lvph01_filtered_en.csv
# Title: Average household size - EU-SILC survey
# Units: number of people
# Source: https://ec.europa.eu/eurostat/databrowser/view/ILC_LVPH01__custom_3720841/default/table?lang=en
# Column types: cccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AL,2017,3.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AL,2018,3.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AL,2019,3.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AL,2020,3.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AL,2021,3.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2003,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2004,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2005,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2006,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2007,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2008,2.3,b
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2009,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2010,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2011,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2012,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2013,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2014,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2015,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2016,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2017,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2018,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2019,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2020,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2021,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,AT,2022,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2003,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2004,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2005,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2006,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2007,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2008,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2009,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2010,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2011,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2012,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2013,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2014,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2015,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2016,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2017,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2018,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2019,2.3,b
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2020,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2021,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2022,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BE,2023,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2005,2.9,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2006,2.9,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2007,2.9,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2008,2.9,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2009,2.9,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2010,2.9,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2011,2.9,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2012,2.8,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2013,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2014,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2015,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2016,2.5,b
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2017,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2018,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2019,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2020,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2021,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2022,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,BG,2023,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2007,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2008,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2009,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2010,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2011,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2012,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2013,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2014,2.2,b
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2015,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2016,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2017,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2018,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2019,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2020,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2021,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CH,2022,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2005,3.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2006,3.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2007,2.9,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2008,2.8,b
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2009,2.8,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2010,2.8,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2011,2.8,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2012,2.8,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2013,2.8,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2014,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2015,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2016,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2017,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2018,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2019,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2020,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2021,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CY,2022,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2005,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2006,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2007,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2008,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2009,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2010,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2011,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2012,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2013,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2014,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2015,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2016,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2017,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2018,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2019,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2020,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2021,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,CZ,2022,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2005,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2006,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2007,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2008,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2009,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2010,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2011,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2012,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2013,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2014,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2015,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2016,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2017,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2018,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2019,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2020,2.0,b
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2021,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DE,2022,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2003,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2004,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2005,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2006,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2007,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2008,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2009,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2010,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2011,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2012,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2013,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2014,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2015,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2016,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2017,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2018,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2019,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2020,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2021,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,DK,2022,2.0,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2011,2.3,e
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2012,2.3,e
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2013,2.3,e
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2014,2.3,e
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2015,2.3,e
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2016,2.3,e
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2017,2.3,e
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2018,2.3,e
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2019,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2020,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA,2021,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2005,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2006,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2007,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2008,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2009,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2010,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2011,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2012,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2013,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2014,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2015,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2016,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2017,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2018,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2019,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA18,2020,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2005,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2006,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2007,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2008,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2009,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2010,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2011,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2012,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2013,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2014,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2015,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2016,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2017,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2018,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2019,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2020,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA19,2021,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2014,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2015,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2016,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2017,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2018,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2019,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2020,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2021,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EA20,2022,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2004,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2005,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2006,2.4,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2007,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2008,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2009,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2010,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2011,2.3,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2012,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2013,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2014,2.2,b
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2015,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2016,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2017,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2018,2.2,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2019,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2020,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2021,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2022,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EE,2023,2.1,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2003,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2004,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2005,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2006,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2007,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2008,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2009,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2010,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2011,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2012,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2013,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2014,2.5,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2015,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2016,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2017,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2018,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2019,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2020,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2021,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,EL,2022,2.6,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,ES,2004,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,ES,2005,2.8,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,ES,2006,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,ES,2007,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,ES,2008,2.7,
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,ES,2009,2.7,b
dataflow,ESTAT:ILC_LVPH01(1.0),A,AVG,ES,2010,2.6,
