# File: estat_nrg_d_hhq_filtered_en.csv
# Title: Disaggregated final energy consumption in households - quantities
# Units: TJ
# Source: https://ec.europa.eu/eurostat/databrowser/view/nrg_d_hhq__custom_10176508/default/table?lang=en
# Column types: cccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2010,10790.820,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2011,10571.882,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2012,11036.876,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2013,14641.092,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2014,12600.004,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2015,11665.350,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2016,10767.348,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2017,10564.326,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2018,11329.114,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2019,11232.871,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2020,12488.684,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AL,2021,12616.747,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AT,2010,63566.975,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AT,2011,62185.100,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AT,2012,63148.738,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,E7000,TJ,AT,2013,63536.990,
