# File: estat_nrg_ind_ahbtc_filtered_en.csv
# Title: Heat pumps - ambient heat captured by technology and climate
# Units: GWh
# Source: https://ec.europa.eu/eurostat/databrowser/view/nrg_ind_ahbtc__custom_14839308/default/table?lang=en
# Column types: ccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,hp_tech,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2021,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2022,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AL,2023,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2021,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2022,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,AT,2023,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BA,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2004,4.406,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2005,9.952,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2006,10.643,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2007,10.658,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2008,10.678,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2009,12.141,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2010,55.259,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2011,54.65,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2012,64.218,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2013,76.734,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2014,69.079,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2015,70.142,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2016,77.605,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2017,79.143,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,ATH_AA_EA,GWH,BE,2018,85.493,
