# File: hh_items_techs_map.csv
# Title: Mapping from EU HH database items to Eurostat technologies
# Units: NA
# Source: BC3
# Column types: cc
# ----------
technology,consumption.category
biomass,solid fuels
coal,solid fuels
gas,gas
refined liquids,liquid fuels
district heat,district heat
resistance,electricity
air-air pump south,electricity
air-air pump middle south,electricity
air-air pump middle north,electricity
air-air pump north,electricity
air-water pump south,electricity
air-water pump middle south,electricity
air-water pump middle north,electricity
air-water pump north,electricity
geo-water pump,electricity
heat pump,electricity
electricity,electricity
solar thermal,other
hydrogen,other
