# File: nrgbal_to_sector_map.csv
# Title: Mapping from flows in Eurostat energy balances to intermediate sector names
# Units: NA
# Source: Eurostat (Complete energy balance downloaded December 2023 from https://ec.europa.eu/eurostat/data/database; definitions at https://ec.europa.eu/eurostat/documents/38154/4956218/ENERGY-BALANCE-GUIDE.pdf/de76d0d2-8b17-b47c-f6f5-415bd09b7750?t=1632139948586)
# Column types: ccc
# ----------
nrg_bal,sector_EUROSTAT,sector
PPRD,Primary production,out_resources
RCV_RCY,Recovered & recycled products,
IMP,Imports,
EXP,Exports,
STK_CHG,Change in stock,
GAE,Gross available energy,
INTMARB,International maritime bunkers,in_trn_international ship
INTAVI,International aviation,in_trn_international air
TI_EHG_E,Electricity & heat generation,
TI_CO_E,Coke ovens,in_industry_energy_iron and steel
TI_BF_E,Blast furnaces,in_industry_energy_iron and steel
TI_GW_E,Gas works,in_gas works
TI_RPI_E,Refineries & petrochemical industry,
TI_PF_E,Patent fuel plants,in_industry_energy transformation
TI_BKBPB_E,BKB & PB plants,in_industry_energy transformation
TI_CL_E,Coal liquefaction plants,in_industry_ctl
TI_BNG_E,For blended natural gas,in_gas works
TI_LBB_E,Liquid biofuels blended,in_industry_energy transformation
TI_CPP_E,Charcoal production plants,in_industry_energy transformation
TI_GTL_E,Gas-to-liquids plants,in_industry_gtl
TI_NSP_E,Not elsewhere specified ,
TI_EHG_MAPE_E,Main activity producer electricity only,in_electricity generation
TI_EHG_MAPCHP_E,Main activity producer CHP,in_electricity generation
TI_EHG_MAPH_E,Main activity producer heat only,in_heat
TI_EHG_APE_E,Autoproducer electricity only,in_electricity generation
TI_EHG_APCHP_E,Autoproducer CHP ,in_industry_chp
TI_EHG_APH_E,Autoproducer heat only,in_heat
TI_EHG_EDHP,Electrically driven heat pumps,in_industry_energy transformation
TI_EHG_EB,Electric boilers,in_industry_energy transformation
TI_EHG_EPS,Electricity for pumped storage,in_industry_ownuse
TI_EHG_DHEP,Derived heat for electricity production,
TI_RPI_RI_E,Refinery intake,in_industry_oil refining
TI_RPI_BPI_E,Backflows from petrochemical industry,
TI_RPI_PT_E,Products transferred,
TI_RPI_IT_E,Interproduct transfers,
TI_RPI_DU_E,Direct use,in_industry_oil refining
TI_RPI_PII_E,Petrochemical industry intake,
TO_EHG,Electricity & heat generation,
TO_CO,Coke ovens,
TO_BF,Blast furnaces,
TO_GW,Gas works,out_gas works
TO_RPI,Refineries & petrochemical industry,
TO_PF,Patent fuel plants,out_industry_energy transformation
TO_BKBPB,BKB & PB plants,out_industry_energy transformation
TO_CL,Coal liquefaction plants,out_industry_ctl
TO_BNG,Blended in natural gas,out_gas works
TO_LBB,Liquid biofuels blended,out_industry_energy transformation
TO_CPP,Charcoal production plants,out_industry_energy transformation
TO_GTL,Gas-to-liquids plants,out_industry_gtl
TO_NSP,Not elsewhere specified ,
TO_EHG_MAPE,Main activity producer electricity only,
TO_EHG_MAPCHP,Main activity producer CHP,
TO_EHG_MAPH,Main activity producer heat only,
TO_EHG_APE,Autoproducer electricity only,
TO_EHG_APCHP,Autoproducer CHP ,
TO_EHG_APH,Autoproducer heat only,
TO_EHG_EDHP,Electrically driven heat pumps,out_industry_energy transformation
TO_EHG_EB,Electric boilers,out_industry_energy transformation
TO_EHG_PH,Pumped hydro,out_electricity generation
TO_EHG_OTH,Other sources,
TO_RPI_RO,Refinery output,out_industry_oil refining
TO_RPI_BKFLOW,Backflows,
TO_RPI_PT,Products transferred,
TO_RPI_IT,Interproduct transfers,
TO_RPI_PPR,Primary product receipts,out_industry_oil refining
TO_RPI_PIR,Petrochemical industry returns,
NRG_EHG_E,Own use in electricity & heat generation,in_industry_ownuse
NRG_CM_E,Coal mines,in_industry_energy transformation
NRG_OIL_NG_E,Oil & natural gas extraction plants,in_industry_energy transformation
NRG_PF_E,Patent fuel plants,in_industry_energy transformation
NRG_CO_E,Coke ovens,in_industry_energy_iron and steel
NRG_BKBPB_E,BKB & PB plants,in_industry_energy transformation
