# File: siec_to_fuel_map.csv
# Title: Mapping from products in Eurostat energy balances to fuels
# Units: NA
# Source: Eurostat (https://dd.eionet.europa.eu/vocabulary/eurostat/siec/view)
# Column types: ccc
# ----------
siec,product,fuel
BIOE,Bioenergy,
C0000X0350-0370,Solid fossil fuels,
C0110,Anthracite,coal
C0121,Coking coal,coal
C0129,Other bituminous coal,coal
C0210,Sub-bituminous coal,coal
C0220,Lignite,coal
C0311,Coke oven coke,coal
C0312,Gas coke,coal
C0320,Patent fuel,coal
C0330,Brown coal briquettes,coal
C0340,Coal tar,coal
C0350,Coke oven gas ,coal
C0350-0370,Manufactured gases,
C0360,Gas works gas,gas
C0371,Blast furnace gas,coal
C0379,Other recovered gases,coal
E7000,Electricity,electricity
FE,Fossil energy,
G3000,Natural gas,gas
G3200,Liquefied natural gas,
H8000,Heat,heat
N900H,Nuclear heat,elec_nuclear
O4000,Oil and petroleum products,
O4000XBIO,Oil and petroleum products (excluding biofuel portion),
O4100_TOT,Crude oil,refined liquids
O4200,Natural gas liquids,refined liquids
O4300,Refinery feedstocks,refined liquids
O4400X4410,Additives and oxygenates (excluding biofuel portion),refined liquids
O4500,Other hydrocarbons,refined liquids
O4610,Refinery gas,refined liquids
O4620,Ethane,refined liquids
O4630,Liquefied petroleum gases,refined liquids
O4640,Naphtha,refined liquids
O4651,Aviation gasoline,refined liquids
O4652XR5210B,Motor gasoline (excluding biofuel portion),refined liquids
O4653,Gasoline-type jet fuel,refined liquids
O4661XR5230B,Kerosene-type jet fuel (excluding biofuel portion),refined liquids
O4669,Other kerosene,refined liquids
O4671,Gas oil and diesel oil,refined liquids
O4671XR5220B,Gas oil and diesel oil (excluding biofuel portion),refined liquids
O4680,Fuel oil,refined liquids
O4691,White spirit and special boiling point industrial spirits,refined liquids
O4692,Lubricants,refined liquids
O4693,Paraffin waxes,refined liquids
O4694,Petroleum coke,refined liquids
O4695,Bitumen,refined liquids
O4699,Other oil products,refined liquids
P1000,Peat and peat products,
P1100,Peat,coal
P1200,Peat Products,coal
R5110-5150_W6000RI,Primary solid biofuels,biomass_tradbio
R5160,Charcoal,biomass
R5210B,Blended biogasoline,refined biofuels_ethanol
R5210P,Pure biogasoline,refined biofuels_ethanol
R5220B,Blended biodiesels,refined biofuels_FT
R5220P,Pure biodiesels,refined biofuels_FT
R5230B,Blended bio jet kerosene,biomass
R5230P,Pure bio jet kerosene,biomass
R5290,Other liquid biofuels,biomass
R5300,Biogases,gas
RA000,Renewables and biofuels,
RA100,Hydro,elec_hydro
RA200,Geothermal,elec_geothermal
RA300,Wind,elec_wind
RA410,Solar thermal,elec_solar CSP
RA420,Solar photovoltaic,elec_solar PV
RA500,"Tide, wave, ocean",elec_hydro
RA600,Ambient heat (heat pumps),
S2000,Oil Shale and Oil Sands,coal
SFF_P1000_S2000,"Solid fossil fuels, peat, peat products, oil shale and oil sands",coal
TOTAL,Total energy,
W6100,Industrial waste (non-renewable),biomass
W6100_6220,Non-renewable waste,
W6210,Renewable municipal waste,biomass
W6220,Non-renewable municipal waste,biomass
