# File: estat_nrg_ti_gas.csv
# Title: Eurostat Gas Imports
# Units: in file (TJ_GCV = tj high heat value)
# Source: https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nrg_ti_gas?format=TSV&compressed=true
# Comments: some slight preprocessing to add in country names
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncc 
# ----------
freq,siec,code_exporter,unit,code_importer,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,import_ctry,export_ctry
A,G3000,AE,TJ_GCV,BE,0,0,0,0,0,21813,2749,0,0,0,0,0,10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium,United Arab Emirates (the)
A,G3000,AE,TJ_GCV,ES,0,0,0,0,0,13849,39398,49917,25986,12977,6128,6178,16231,15820,13223,9933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,United Arab Emirates (the)
A,G3000,AE,TJ_GCV,IT,0,0,0,0,0,0,0,0,4420,7658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Italy,United Arab Emirates (the)
A,G3000,AE,TJ_GCV,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.652,0,0,0,0,0,Netherlands (the),United Arab Emirates (the)
A,G3000,AE,TJ_GCV,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,United Arab Emirates (the)
A,G3000,AL,TJ_GCV,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,Netherlands (the),Albania
A,G3000,AO,TJ_GCV,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5848.6,0,3230.8,0,3582.9,Belgium,Angola
A,G3000,AO,TJ_GCV,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636.149,0,3394.66,0,Greece,Angola
A,G3000,AO,TJ_GCV,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3743,11200,3719,10983,14603,14859.612,11169.088,Spain,Angola
A,G3000,AO,TJ_GCV,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504.324,0,0,0,0,Italy,Angola
