# File: A_ExoShutdownScalar.csv,,,,,,,,,,,,,,,,,,,,,
# Title: Scalars for exogenous shutdown decider,,,,,,,,,,,,,,,,,,,,,
# Units: Maximum proportion of vintage that can be deployed,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccinnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,period,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
USA_coal_exoshutdown,USA,elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2021,0.72,0.45,0.25,0.22,0.19,0.17,,,,,,,,,,
USA_coal_exoshutdown,USA,elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),2021,0.72,0.45,0.15,0.22,0.19,0.17,,,,,,,,,,
USA_coal_exoshutdown,USA,elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2021,0.72,0.45,0.25,0.22,0.19,0.17,,,,,,,,,,
USA_coal_exoshutdown,USA,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2021,0.72,0.45,0.25,0.22,0.19,0.17,,,,,,,,,,
USA_coal_exoshutdown,USA,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2021,0.72,0.45,0.25,0.22,0.19,0.17,,,,,,,,,,
policy_nuclear_jpn,Japan,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (seawater),2021,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
policy_coalshut_2020_eums_torevise,Belgium,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.02174712,0.02174712,0.02174712,0.02174712,0.02174712,0.02174712,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Bulgaria,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.815665735,0.815665735,0.815665735,0.815665735,0.815665735,0.815665735,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Czech Republic,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.966272712,0.966272712,0.966272712,0.966272712,0.966272712,0.966272712,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Denmark,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.515510824,0.515510824,0.515510824,0.515510824,0.515510824,0.515510824,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Germany,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.696776096,0.696776096,0.696776096,0.696776096,0.696776096,0.696776096,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Estonia,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0,0,0,0,0,0,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Ireland,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.144506769,0.144506769,0.144506769,0.144506769,0.144506769,0.144506769,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Greece,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.610472462,0.610472462,0.610472462,0.610472462,0.610472462,0.610472462,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Spain,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.30277005,0.30277005,0.30277005,0.30277005,0.30277005,0.30277005,,,,,,,,,,
policy_coalshut_2020_eums_torevise,France,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.391610948,0.391610948,0.391610948,0.391610948,0.391610948,0.391610948,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Croatia,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.710596541,0.710596541,0.710596541,0.710596541,0.710596541,0.710596541,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Italy,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.486486347,0.486486347,0.486486347,0.486486347,0.486486347,0.486486347,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Latvia,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.963480911,0.963480911,0.963480911,0.963480911,0.963480911,0.963480911,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Lithuania,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.8525,0.8525,0.8525,0.8525,0.8525,0.8525,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Hungary,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.735866255,0.735866255,0.735866255,0.735866255,0.735866255,0.735866255,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Netherlands,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.479142366,0.479142366,0.479142366,0.479142366,0.479142366,0.479142366,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Austria,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.644933829,0.644933829,0.644933829,0.644933829,0.644933829,0.644933829,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Poland,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.982182482,0.982182482,0.982182482,0.982182482,0.982182482,0.982182482,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Portugal,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.419519349,0.419519349,0.419519349,0.419519349,0.419519349,0.419519349,,,,,,,,,,
policy_coalshut_2020_eums_torevise,Romania,base load generation,coal (conv pul)_base,coal (conv pul) (dry cooling),2021,0.896881163,0.896881163,0.896881163,0.896881163,0.896881163,0.896881163,,,,,,,,,,
