# File: A_FixedOutputTech.csv,,,,,,,,,,,,,,,
# Title: Create a technology with a fixed output,,,,,,,,,,,,,,,
# Units: 1975$/GJ;EJ,,,,,,,,,,,,,,,
# Column types: ccccciniinnnnnnn,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,create.tech,non.energy.input.cost,lifetime.remove.start,lifetime.remove.end,2025,2030,2035,2040,2045,2050,2100
policy_ee_usa.xml,USA,comm others,electricity,EE,1,40.064,,,0.163292441,0.29977277,0.29977277,0.29977277,0.29977277,0.29977277,0.29977277
policy_ee_usa.xml,USA,comm heating,gas,EE,1,1.034983582,,,0.07750752,0.16423458,0.16423458,0.16423458,0.16423458,0.16423458,0.16423458
policy_ee_usa.xml,USA,resid others,electricity,EE,1,20,,,0.037803648,0.146241456,0.146241456,0.146241456,0.146241456,0.146241456,0.146241456
policy_ee_usa.xml,USA,resid heating,gas,EE,1,2.262,,,0.027541186,0.081955804,0.081955804,0.081955804,0.081955804,0.081955804,0.081955804
policy_hydro_fix_usa.xml,USA,electricity,hydro,hydro,0,,,,1.1,1.1,1.1,1.1,1.1,1.1,1.1
policy_hydro_fix_idn.xml,Indonesia,electricity,hydro,hydro,0,,,,0.139843059,0.20543776,0.20543776,0.20543776,0.20543776,0.20543776,0.20543776
policy_hydro_fix_ind.xml,India,electricity,hydro,hydro,0,,,,0.66,0.78,0.78,0.78,0.78,0.78,0.78
policy_hydro_fix_saf.xml,South Africa,electricity,hydro,hydro,0,,,,0.014359745,0.020097818,0.020097818,0.020097818,0.020097818,0.020097818,0.020097818
policy_hydro_fix_tur.xml,Europe_Non_EU,electricity,hydro,hydro,0,,,,0.511569451,0.511569451,0.511569451,0.511569451,0.511569451,0.511569451,0.511569451
policy_hydro_fix_bra.xml,Brazil,electricity,hydro,hydro,0,,,,1.793954748,1.793954748,1.793954748,1.793954748,1.793954748,1.793954748,1.793954748
policy_hydro_fix_chn.xml,China,electricity,hydro,hydro,0,,,,5.647019071,6.406643464,6.406643464,6.406643464,6.406643464,6.406643464,6.406643464
policy_hydro_fix_kor.xml,South Korea,electricity,hydro,hydro,0,,,,,0.013822766,,,,,
policy_hydro_fix_eu.xml,EU-15,electricity,hydro,hydro,0,,,,1.16,1.16,1.16,1.16,1.16,1.16,1.16
policy_hydro_fix_sea.xml,Southeast Asia,electricity,hydro,hydro,0,,,,0.580887839,0.601775678,0.622662207,0.643550046,0.664437884,0.685325723,0.894200182
IRA_nuclear_fixed,USA,electricity,nuclear,Gen_II_LWR,0,,2021,2050,2.816243129,2.816243129,2.816243129,2.816243129,2.816243129,2.816243129,
IRA_nuclear_fixed,USA,electricity,nuclear,Gen_III,0,,2021,2021,,,,,,,
