# File: A_building_shell_size.csv,,,,,,,,,,,,,,,,,,,
# Title: Building shell conductance or base size overwrite,,,,,,,,,,,,,,,,,,,
# Units: Unitless,,,,,,,,,,,,,,,,,,,
# Column types: ccccnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,
xml,region,gcam.consumer,variable,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IRA_building_eff_improvement_13304,USA,resid_d1,shell.conductance,0.86,0.83,0.8,0.78,0.778,0.775,0.772,0.77,0.768,0.765,0.762,0.76,0.758,0.755,0.752,0.75
policy_building_shell_size_eu,Germany,resid EUR_d1,base.building.size,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479,10.462479
policy_building_shell_size_eu,Germany,comm EUR,base.building.size,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852,5.894852
policy_shell_ff55mixscn.xml,Austria,resid EUR_d1,shell.conductance,0.937914768,0.906125228,0.893126421,0.88012771,0.867128903,0.854130096,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d10,shell.conductance,0.937914768,0.906125228,0.883900551,0.861675972,0.839451393,0.817226814,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d2,shell.conductance,0.937914768,0.906125228,0.890988415,0.875851505,0.860714692,0.845577782,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d3,shell.conductance,0.937914768,0.906125228,0.889896515,0.873667705,0.857438992,0.841210182,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d4,shell.conductance,0.937914768,0.906125228,0.889126423,0.872127714,0.855129005,0.8381302,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d5,shell.conductance,0.937914768,0.906125228,0.888482823,0.870840417,0.853198012,0.83555551,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d6,shell.conductance,0.937914768,0.906125228,0.887900278,0.869675424,0.851450474,0.833225523,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d7,shell.conductance,0.937914768,0.906125228,0.887299604,0.868473981,0.849648357,0.830822636,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d8,shell.conductance,0.937914768,0.906125228,0.886618357,0.867111485,0.847604613,0.828097742,,,,,,,,,,
policy_shell_ff55mixscn.xml,Austria,resid EUR_d9,shell.conductance,0.937914768,0.906125228,0.885797195,0.865469162,0.845141129,0.824813096,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d1,shell.conductance,0.946644059,0.90278472,0.889833834,0.876883043,0.863932157,0.850981272,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d10,shell.conductance,0.946644059,0.90278472,0.880641976,0.85849933,0.836356684,0.814214038,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d2,shell.conductance,0.946644059,0.90278472,0.887703709,0.872622603,0.857541593,0.842460487,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d3,shell.conductance,0.946644059,0.90278472,0.886615835,0.870446854,0.854277969,0.838108988,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d4,shell.conductance,0.946644059,0.90278472,0.885848582,0.86891254,0.851976499,0.835040361,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d5,shell.conductance,0.946644059,0.90278472,0.885207355,0.86762999,0.850052624,0.832475163,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d6,shell.conductance,0.946644059,0.90278472,0.884626957,0.866469291,0.848311529,0.830153766,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d7,shell.conductance,0.946644059,0.90278472,0.884028498,0.865272277,0.846516055,0.827759737,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d8,shell.conductance,0.946644059,0.90278472,0.883349762,0.863914804,0.844479846,0.825044888,,,,,,,,,,
policy_shell_ff55mixscn.xml,Belgium,resid EUR_d9,shell.conductance,0.946644059,0.90278472,0.882531628,0.862278536,0.842025444,0.821772352,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d1,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d10,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d2,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d3,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d4,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d5,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d6,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d7,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d8,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Bulgaria,resid EUR_d9,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d1,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d10,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d2,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d3,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d4,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d5,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d6,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d7,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d8,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Croatia,resid EUR_d9,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d1,shell.conductance,0.954210654,0.924750101,0.912630526,0.900510854,0.888391279,0.876271607,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d10,shell.conductance,0.954210654,0.924750101,0.901584125,0.878418148,0.855252171,0.832086294,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d2,shell.conductance,0.954210654,0.924750101,0.90984222,0.894934436,0.880026653,0.865118771,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d3,shell.conductance,0.954210654,0.924750101,0.908600499,0.892450896,0.876301196,0.860151593,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d4,shell.conductance,0.954210654,0.924750101,0.907654488,0.890558973,0.873463458,0.856367844,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d5,shell.conductance,0.954210654,0.924750101,0.906997428,0.889244755,0.871492082,0.853739409,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d6,shell.conductance,0.954210654,0.924750101,0.906328489,0.887906876,0.869485263,0.851063552,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d7,shell.conductance,0.954210654,0.924750101,0.905720142,0.886690183,0.867660323,0.848630364,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d8,shell.conductance,0.954210654,0.924750101,0.904924637,0.885099074,0.86527361,0.845448047,,,,,,,,,,
policy_shell_ff55mixscn.xml,Cyprus,resid EUR_d9,shell.conductance,0.954210654,0.924750101,0.903973616,0.883197032,0.862420547,0.841643962,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d1,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d10,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d2,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d3,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d4,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d5,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d6,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d7,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d8,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Czech Republic,resid EUR_d9,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Denmark,resid EUR_d1,shell.conductance,0.950611986,0.932988824,0.919604645,0.906220565,0.892836387,0.879452209,,,,,,,,,,
policy_shell_ff55mixscn.xml,Denmark,resid EUR_d10,shell.conductance,0.950611986,0.932988824,0.910105259,0.887221795,0.864338332,0.841454868,,,,,,,,,,
policy_shell_ff55mixscn.xml,Denmark,resid EUR_d2,shell.conductance,0.950611986,0.932988824,0.917403254,0.901817586,0.886232016,0.870646347,,,,,,,,,,
