# File: A_elasticity.csv,,,,,,,,,,,,,,,,,,,,,
# Title: Changes to price/income elasticity,,,,,,,,,,,,,,,,,,,,,
# Units: Unitless,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
xml,region,energy.final.demand,elasticity.type,SSP,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_elasticity_eu,France,trn_pass,price.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,France,trn_pass,income.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,France,trn_freight,price.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,France,trn_freight,income.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,Germany,trn_pass,price.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,Germany,trn_pass,income.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,Germany,trn_freight,price.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_eu,Germany,trn_freight,income.elasticity,SSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,France,regional iron and steel,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,France,other industry,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,France,chemical,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,France,aluminum,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,France,cement,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,Germany,regional iron and steel,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,Germany,other industry,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,Germany,chemical,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,Germany,aluminum,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
policy_elasticity_industrial_eu,Germany,cement,income.elasticity,gSSP1,,,,,,,,,,,,,,,,,
