# File: CO2byTech.csv,,,,,,,,,
# Title: CO2 by tech used for GDP intensity policies,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors;resource emissions added here with repeat subsector column in tech column,,,,,,,,,
# Units: MTC,,,,,,,,,
# Column types: ccccnnnnnc,,,,,,,,,
# ----------,,,,,,,,,
region,sector,subsector,technology,1990,2005,2010,2015,2021,Units
China,H2 central production,biomass,biomass to H2,0,0,0,0,0,MTC
China,H2 central production,gas,natural gas steam reforming,0,0,0,0,0,MTC
China,H2 wholesale dispensing,forecourt production,natural gas steam reforming,0,0,0,0,0,MTC
China,agricultural energy use,mobile,refined liquids,9.73505,9.73333,9.27303,11.6285,13.343,MTC
China,agricultural energy use,stationary,biomass,1.29E-04,1.20E-04,5.29E-05,0,0,MTC
China,agricultural energy use,stationary,coal,12.0426,10.9124,12.7945,15.5852,10.541,MTC
China,agricultural energy use,stationary,gas,0.0594412,0,0.024965,0.046958,0.0826227,MTC
China,agricultural energy use,stationary,refined liquids,2.43376,2.43333,2.31826,2.90714,3.33574,MTC
China,alumina,coal,coal,0,4.36575,11.422,14.6139,14.2225,MTC
China,alumina,gas,gas,0,0.394815,1.03296,1.32161,1.28622,MTC
China,alumina,refined liquids,refined liquids,0,0.197215,0.515993,0.66018,0.642505,MTC
China,ammonia,coal,coal,17.3667,32.8034,39.8245,43.2982,31.7398,MTC
China,ammonia,gas,gas,1.62503,3.06946,3.72643,4.05147,2.96994,MTC
China,ammonia,hydrogen,hydrogen,0,0,0,0,0,MTC
China,ammonia,refined liquids,refined liquids,1.38538,2.6168,3.17689,3.45399,2.53195,MTC
China,cement,cement,cement,28.806,145.501,221.68,221.68,221.68,MTC
China,chemical energy use,coal,coal,14.6703,54.4352,68.8902,86.0384,38.5867,MTC
China,chemical energy use,gas,gas,0,1.50946,3.67673,5.44849,19.0168,MTC
China,chemical energy use,refined liquids,refined liquids,2.1897,3.12241,13.9003,8.43157,22.2753,MTC
China,chemical feedstocks,gas,gas,1.70917,2.45004,1.93381,3.41051,3.52549,MTC
China,comm heating,coal,coal,17.0412,24.6986,28.543,33.6647,15.0414,MTC
China,comm heating,gas,gas,0.218353,1.86832,2.75975,4.57085,6.29375,MTC
China,comm heating,refined liquids,refined liquids,2.52577,5.27856,7.21251,8.5227,8.98351,MTC
China,comm others,biomass,biomass,0.0106651,0.0048806,0.0029417,0.0067781,0.0057293,MTC
China,comm others,coal,coal,8.17589,11.8497,13.6941,16.1513,7.21644,MTC
