# File: OutputsByTech.csv,,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,,
# Updated August 17th with IAMCOMPACT reference scenario,,,,,,,,,,
# Units: EJ,,,,,,,,,,
# Column types: cccccnnnnnc,,,,,,,,,,
# ----------,,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,2021,Units
Australia_NZ,cement,cement,cement,cement,9.45778,11.5822,11.6089,11.6089,11.6089,Mt
China,cement,cement,cement,cement,255.449,1290.29,1965.84,1965.84,1965.84,Mt
Russia,cement,cement,cement,cement,100.39,59.8466,54.6659,54.6659,54.6659,Mt
Australia_NZ,chemical,chemical,chemical,chemical,0.18583,0.20884,0.217693,0.269668,0.241473,EJ
China,chemical,chemical,chemical,chemical,1.70136,4.84338,7.12601,9.39378,12.7256,EJ
Russia,chemical,chemical,chemical,chemical,1.84906,2.26383,3.33907,2.99001,3.66253,EJ
Australia_NZ,chemical energy use,biomass,chemical energy use,biomass,0.00593198,0.00346989,0.00474387,0.00335272,0.00321085,EJ
Australia_NZ,chemical energy use,coal,chemical energy use,coal,0.00608017,0.0061338,0.0060273,0.00596205,0.00463475,EJ
Australia_NZ,chemical energy use,electricity,chemical energy use,electricity,0.0149736,0.021433,0.0189447,0.0161117,0.0146929,EJ
Australia_NZ,chemical energy use,gas,chemical energy use,gas,0.0557696,0.053376,0.0585131,0.0535209,0.0460245,EJ
Australia_NZ,chemical energy use,refined liquids,chemical energy use,refined liquids,0.0016956,0.00852819,0.00741526,0.00603421,0.00485058,EJ
China,chemical energy use,coal,chemical energy use,coal,0.446019,1.68889,2.14998,2.70406,1.22262,EJ
China,chemical energy use,electricity,chemical energy use,electricity,0.289958,0.886623,1.30116,1.93926,2.56753,EJ
China,chemical energy use,gas,chemical energy use,gas,0,0.0919492,0.225523,0.336502,1.18386,EJ
China,chemical energy use,heat,chemical energy use,heat,0.194984,0.54012,0.762019,1.12603,2.50465,EJ
China,chemical energy use,refined liquids,chemical energy use,refined liquids,0.10524,0.153094,0.686506,0.418997,1.11604,EJ
Russia,chemical energy use,biomass,chemical energy use,biomass,0,0,8.89E-04,0.0018921,0.00632129,EJ
Russia,chemical energy use,coal,chemical energy use,coal,0.0154958,5.67E-04,0.00716864,0.00606975,0.00662624,EJ
Russia,chemical energy use,electricity,chemical energy use,electricity,0.261055,0.140851,0.164229,0.164315,0.190923,EJ
Russia,chemical energy use,gas,chemical energy use,gas,0.0571009,0,0,0.0499731,0.0877925,EJ
Russia,chemical energy use,heat,chemical energy use,heat,0,0.563854,0.570761,0.502529,0.575449,EJ
Russia,chemical energy use,refined liquids,chemical energy use,refined liquids,1.45E-01,2.32E-01,0.240975,0.343827,0.0168537,EJ
Australia_NZ,chemical feedstocks,gas,chemical feedstocks,gas,0.0236865,0.0284955,0.0410919,0.0926776,0.075298,EJ
Australia_NZ,chemical feedstocks,refined liquids,chemical feedstocks,refined liquids,0.0776922,0.0874037,0.0809572,0.0920083,0.0927618,EJ
China,chemical feedstocks,gas,chemical feedstocks,gas,0.120364,0.172538,0.136184,0.240177,0.248274,EJ
China,chemical feedstocks,refined liquids,chemical feedstocks,refined liquids,0.544795,1.31017,1.86464,2.62874,3.8826,EJ
Russia,chemical feedstocks,coal,chemical feedstocks,coal,0,0,0.0108417,0.0077022,0.0097952,EJ
Russia,chemical feedstocks,gas,chemical feedstocks,gas,0.710264,0.731978,1.25036,1.17043,1.72863,EJ
Russia,chemical feedstocks,refined liquids,chemical feedstocks,refined liquids,0.659881,0.594705,1.09384,0.743266,1.04014,EJ
Australia_NZ,comm cooling,electricity,comm cooling,electricity,0.0289968,0.0627554,0.0737222,0.0870985,0.0820147,EJ
China,comm cooling,electricity,comm cooling,electricity,0.0906751,0.618516,1.17814,2.10825,4.91863,EJ
Russia,comm cooling,electricity,comm cooling,electricity,0.0011563,0.0023356,0.0038358,0.0036421,0.0041558,EJ
Australia_NZ,comm heating,biomass,comm heating,biomass,0,1.31E-04,1.03E-04,1.03E-04,5.97E-05,EJ
Australia_NZ,comm heating,electricity,comm heating,electricity,0.00318181,0.00639021,0.00732221,0.00843792,0.0077114,EJ
Australia_NZ,comm heating,gas,comm heating,gas,0.0136263,0.0191374,0.0205879,0.0248146,0.0200199,EJ
Australia_NZ,comm heating,gas,comm heating,hydrogen,0,0.00E+00,0.00E+00,0.00E+00,0,EJ
Australia_NZ,comm heating,refined liquids,comm heating,refined liquids,0.00162237,0.00250851,0.00295744,0.00365578,0.00377833,EJ
China,comm heating,coal,comm heating,coal,0.227634,0.349042,0.419053,0.512916,0.238747,EJ
China,comm heating,district heat,comm heating,district heat,0.00836975,0.0452079,0.0814587,0.137746,0.250606,EJ
China,comm heating,electricity,comm heating,electricity,0.0038252,0.0242135,0.0449865,0.0785218,0.177799,EJ
China,comm heating,gas,comm heating,gas,0.00877185,8.06E-02,1.24E-01,2.15E-01,0.309881,EJ
China,comm heating,gas,comm heating,hydrogen,0,0.00E+00,0.00E+00,0.00E+00,0,EJ
China,comm heating,refined liquids,comm heating,refined liquids,0.0770691,0.170401,2.42E-01,2.97E-01,0.32572,EJ
Russia,comm heating,biomass,comm heating,biomass,0.00981117,0.00735863,1.03E-02,1.17E-02,0.0154247,EJ
Russia,comm heating,district heat,comm heating,district heat,2.48059,0.382191,0.333017,0.38429,0.48087,EJ
Russia,comm heating,electricity,comm heating,electricity,0.00464477,0.00870629,0.0139466,0.0129168,0.0143043,EJ
Russia,comm heating,gas,comm heating,gas,0.218798,0.0939231,0.0735005,0.0541046,0.3098,EJ
Russia,comm heating,gas,comm heating,hydrogen,0,0,0,0,0,EJ
Australia_NZ,comm others,biomass,N/A,biomass,0,1.89E-05,1.47E-05,1.46E-05,8.35E-06,EJ
Australia_NZ,comm others,biomass,comm others,biomass,0,1.09E-05,8.55E-06,8.62E-06,4.96E-06,EJ
Australia_NZ,comm others,coal,N/A,coal,0.00337055,0.00209335,9.42E-04,5.86E-04,3.14E-04,EJ
Australia_NZ,comm others,coal,comm others,coal,0.00255151,0.00161524,7.33E-04,4.60E-04,2.49E-04,EJ
Australia_NZ,comm others,electricity,comm others,electricity,0.0819587,0.169605,0.196292,0.22847,0.211314,EJ
Australia_NZ,comm others,gas,N/A,gas,0.00846381,0.0114991,0.0121981,0.0145116,0.0115398,EJ
Australia_NZ,comm others,gas,N/A,hydrogen,0,0,0.00E+00,0.00E+00,0,EJ
Australia_NZ,comm others,gas,comm others,gas,9.52E-03,0.0133711,1.44E-02,0.0173376,0.0139877,EJ
Australia_NZ,comm others,gas,comm others,hydrogen,0.00E+00,0,0,0,0,EJ
Australia_NZ,comm others,refined liquids,comm others,refined liquids,0.00887118,0.0137165,0.0161714,0.01999,0.02066,EJ
China,comm others,biomass,N/A,biomass,2.32E-04,1.06E-04,6.39E-05,1.47E-04,1.25E-04,EJ
China,comm others,biomass,comm others,biomass,1.01E-04,4.91E-05,3.08E-05,7.35E-05,6.48E-05,EJ
China,comm others,coal,N/A,coal,0.149752,0.217029,0.250749,0.295889,0.132137,EJ
China,comm others,coal,comm others,coal,0.0873698,0.133968,0.160839,0.196866,0.0916349,EJ
China,comm others,district heat,N/A,district heat,8.56E-04,0.00444174,0.00773815,0.0126739,0.0222758,EJ
China,comm others,district heat,comm others,district heat,0.00113585,0.006135,0.0110545,0.018693,0.0340089,EJ
China,comm others,electricity,comm others,electricity,0.0585637,0.381976,0.716796,1.26368,2.89586,EJ
China,comm others,gas,N/A,gas,0.00227809,0.0195003,0.0287871,0.0476978,0.0656935,EJ
China,comm others,gas,N/A,hydrogen,0,0,0,0,0,EJ
China,comm others,gas,comm others,gas,0.00197408,1.81E-02,2.80E-02,4.83E-02,0.0697383,EJ
China,comm others,gas,comm others,hydrogen,0,0.00E+00,0.00E+00,0.00E+00,0,EJ
China,comm others,refined liquids,comm others,refined liquids,0.0294512,0.065117,0.0924335,0.11335,0.124471,EJ
