# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
BIODIESEL,refining,biomass liquids,FT biofuels
BIODIESEL,refining,biomass liquids,FT biofuels CCS level 1
BIODIESEL,refining,biomass liquids,FT biofuels CCS level 2
BIODIESEL,refining,biomass liquids,biodiesel
BIOFUEL_ADV,refining,biomass liquids,cellulosic ethanol
BIOFUEL_ADV,refining,biomass liquids,cellulosic ethanol CCS level 1
BIOFUEL_ADV,refining,biomass liquids,cellulosic ethanol CCS level 2
BIOFUEL_ADV,refining,biomass liquids,FT biofuels
BIOFUEL_ADV,refining,biomass liquids,FT biofuels CCS level 1
BIOFUEL_ADV,refining,biomass liquids,FT biofuels CCS level 2
BIOFUEL_ADV,refining,biomass liquids,BTL with hydrogen
BIOFUEL_ALL,refining,biomass liquids,cellulosic ethanol
BIOFUEL_ALL,refining,biomass liquids,cellulosic ethanol CCS level 1
BIOFUEL_ALL,refining,biomass liquids,cellulosic ethanol CCS level 2
BIOFUEL_ALL,refining,biomass liquids,FT biofuels
BIOFUEL_ALL,refining,biomass liquids,FT biofuels CCS level 1
BIOFUEL_ALL,refining,biomass liquids,FT biofuels CCS level 2
BIOFUEL_ALL,refining,biomass liquids,corn ethanol
BIOFUEL_ALL,refining,biomass liquids,sugar cane ethanol
BIOFUEL_ALL,refining,biomass liquids,biodiesel
BIOFUEL_ALL,refining,biomass liquids,BTL with hydrogen
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,cellulosic ethanol
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,cellulosic ethanol CCS level 1
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,cellulosic ethanol CCS level 2
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,FT biofuels
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,FT biofuels CCS level 1
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,FT biofuels CCS level 2
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,corn ethanol
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,sugar cane ethanol
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,biodiesel
BIOFUEL_ALL_PLUS_H2,refining,biomass liquids,BTL with hydrogen
BIOFUEL_ALL_PLUS_H2,H2 wholesale dispensing,H2 delivery,H2 liquid truck
BIOFUEL_ALL_PLUS_H2,H2 wholesale dispensing,H2 delivery,H2 pipeline
BIOFUEL_ALL_PLUS_H2,H2 wholesale dispensing,forecourt production,electrolysis
BIOFUEL_ALL_PLUS_H2,H2 wholesale dispensing,forecourt production,natural gas steam reforming
BIOFUEL_FOODFEED,refining,biomass liquids,corn ethanol
BIOFUEL_FOODFEED,refining,biomass liquids,sugar cane ethanol
BIOFUEL_FOODFEED,refining,biomass liquids,biodiesel
BIOFUEL_NODIESEL,refining,biomass liquids,cellulosic ethanol
BIOFUEL_NODIESEL,refining,biomass liquids,cellulosic ethanol CCS level 1
BIOFUEL_NODIESEL,refining,biomass liquids,cellulosic ethanol CCS level 2
BIOFUEL_NODIESEL,refining,biomass liquids,corn ethanol
BIOFUEL_NODIESEL,refining,biomass liquids,sugar cane ethanol
BIOFUEL_NODIESEL,refining,biomass liquids,BTL with hydrogen
CELLULOSIC_ETHANOL,refining,biomass liquids,cellulosic ethanol
CELLULOSIC_ETHANOL,refining,biomass liquids,cellulosic ethanol CCS level 1
CELLULOSIC_ETHANOL,refining,biomass liquids,cellulosic ethanol CCS level 2
COAL_IND,delivered coal industry,delivered coal industry,delivered coal industry
ELEC_BIO,electricity,biomass,biomass (conv)
ELEC_BIO,electricity,biomass,biomass (IGCC)
ELEC_BIO,electricity,biomass,biomass (conv CCS)
ELEC_COAL_NO_CCS,electricity,coal,coal (conv pul)
ELEC_COAL_NO_CCS,electricity,coal,coal (IGCC)
ELEC_GEO,electricity,geothermal,geothermal
ELEC_NUCLEAR,electricity,nuclear,Gen_III
ELEC_NUCLEAR,electricity,nuclear,Gen_II_LWR
ELEC_PV,electricity,solar,PV
ELEC_PV,electricity,solar,PV_storage
ELEC_PV,elect_td_bld,rooftop_pv,rooftop_pv
ELEC_RES,elect_td_bld,elect_td_bld,elect_td_bld
ELEC_RES,elect_td_en,elect_td_en,elect_td_en
ELEC_RES,elect_td_h2,elect_td_h2,elect_td_h2
ELEC_RES,elect_td_ind,elect_td_ind,elect_td_ind
ELEC_RES,elect_td_trn,elect_td_trn,elect_td_trn
ELEC_RES_CHINA,elect_td_bld,elect_td_bld,elect_td_bld
ELEC_RES_CHINA,elect_td_bld,rooftop_pv,rooftop_pv
ELEC_RES_CHINA,elect_td_en,elect_td_en,elect_td_en
ELEC_RES_CHINA,elect_td_h2,elect_td_h2,elect_td_h2
ELEC_RES_CHINA,elect_td_ind,elect_td_ind,elect_td_ind
ELEC_RES_CHINA,elect_td_trn,elect_td_trn,elect_td_trn
ELEC_ROOFTOP_PV,elect_td_bld,rooftop_pv,rooftop_pv
ELEC_SOLAR_ALL,electricity,solar,PV
ELEC_SOLAR_ALL,electricity,solar,PV_storage
ELEC_SOLAR_ALL,electricity,solar,CSP
ELEC_SOLAR_ALL,electricity,solar,CSP_storage
ELEC_SOLAR_ALL,elect_td_bld,rooftop_pv,rooftop_pv
ELEC_WIND_ALL,electricity,wind,wind
ELEC_WIND_ALL,electricity,wind,wind_storage
ELEC_WIND_ALL,electricity,wind,wind_offshore
ELEC_WIND_OFFSHORE,electricity,wind,wind_offshore
ELEC_WIND_ONSHORE,electricity,wind,wind
ELEC_WIND_ONSHORE,electricity,wind,wind_storage
