# File: A323.inc_elas.csv
# Title: IRONSTL demand income elasticity as a function of per-capita gdp
# Units: pcgdp_90thousUSD: Thousand 1990$; inc_elas:unitless (% change in service demand / % change in income)
# Column types: cnn
# ----------
region,year,inc_elas
Africa_Eastern,2010,0
Africa_Eastern,2015,4.67E-15
Africa_Eastern,2020,6.097358423
Africa_Eastern,2025,6.554594773
Africa_Eastern,2030,4.713872856
Africa_Eastern,2035,3.842563991
Africa_Eastern,2040,3.106333736
Africa_Eastern,2045,2.484662221
Africa_Eastern,2050,1.970776782
Africa_Eastern,2055,1.552930846
Africa_Eastern,2060,1.215287263
Africa_Eastern,2065,0.943425925
Africa_Eastern,2070,0.724072826
Africa_Eastern,2075,0.545064272
Africa_Eastern,2080,0.395139295
Africa_Eastern,2085,0.268771112
Africa_Eastern,2090,0.16000056
Africa_Eastern,2095,0.066520562
Africa_Eastern,2100,-0.017820973
Africa_Northern,2010,0
Africa_Northern,2015,21.02082898
Africa_Northern,2020,0.620658622
Africa_Northern,2025,0.897815532
Africa_Northern,2030,0.528648584
Africa_Northern,2035,0.392020487
Africa_Northern,2040,0.281873367
Africa_Northern,2045,0.181533547
Africa_Northern,2050,0.080531379
Africa_Northern,2055,-0.008159597
Africa_Northern,2060,-0.088980127
Africa_Northern,2065,-0.16404259
Africa_Northern,2070,-0.24693956
Africa_Northern,2075,-0.328910093
Africa_Northern,2080,-0.401612067
Africa_Northern,2085,-0.466166455
Africa_Northern,2090,-0.522797462
Africa_Northern,2095,-0.57966393
Africa_Northern,2100,-0.640729105
Africa_Southern,2010,0
Africa_Southern,2015,-9.686739279
Africa_Southern,2020,-6.150514587
Africa_Southern,2025,21.23698905
Africa_Southern,2030,6.509554912
Africa_Southern,2035,5.651206357
Africa_Southern,2040,4.854996497
Africa_Southern,2045,4.082014651
Africa_Southern,2050,3.377518504
Africa_Southern,2055,2.755388529
Africa_Southern,2060,2.229870405
Africa_Southern,2065,1.797407875
Africa_Southern,2070,1.442178067
Africa_Southern,2075,1.148195402
Africa_Southern,2080,0.908964421
Africa_Southern,2085,0.710483231
Africa_Southern,2090,0.539585254
Africa_Southern,2095,0.393478843
Africa_Southern,2100,0.266479002
Africa_Western,2010,0
Africa_Western,2015,0
Africa_Western,2020,5.138026458
Africa_Western,2025,5.471654831
Africa_Western,2030,4.018835385
Africa_Western,2035,3.28935341
Africa_Western,2040,2.687322697
Africa_Western,2045,2.18540725
Africa_Western,2050,1.771016569
Africa_Western,2055,1.412788975
Africa_Western,2060,1.120837661
Africa_Western,2065,0.888998852
Africa_Western,2070,0.697905072
