# File: A326.inc_elas.csv
# Title:  Aluminum demand income elasticity as a function of per-capita gdp
# Units: inc_elas:unitless (% change in service demand / % change in income)
# Column types: cnn
# ----------
region,year,inc_elas
Africa_Eastern,2015,0.124
Africa_Eastern,2020,0.129
Africa_Eastern,2025,0.136
Africa_Eastern,2030,0.144
Africa_Eastern,2035,0.16
Africa_Eastern,2040,0.197
Africa_Eastern,2045,0.246
Africa_Eastern,2050,0.31
Africa_Eastern,2055,0.436
Africa_Eastern,2060,0.542
Africa_Eastern,2065,0.504
Africa_Eastern,2070,0.459
Africa_Eastern,2075,0.406
Africa_Eastern,2080,0.343
Africa_Eastern,2085,0.272
Africa_Eastern,2090,0.194
Africa_Eastern,2095,0.139
Africa_Eastern,2100,0.077
Africa_Northern,2015,0.383
Africa_Northern,2020,0.485
Africa_Northern,2025,0.533
Africa_Northern,2030,0.5
Africa_Northern,2035,0.465
Africa_Northern,2040,0.426
Africa_Northern,2045,0.385
Africa_Northern,2050,0.339
Africa_Northern,2055,0.289
Africa_Northern,2060,0.233
Africa_Northern,2065,0.183
Africa_Northern,2070,0.143
Africa_Northern,2075,0.102
Africa_Northern,2080,0.059
Africa_Northern,2085,0.025
Africa_Northern,2090,-0.007
Africa_Northern,2095,-0.04
Africa_Northern,2100,-0.063
Africa_Southern,2015,0.15
Africa_Southern,2020,0.17
Africa_Southern,2025,0.197
Africa_Southern,2030,0.225
Africa_Southern,2035,0.257
Africa_Southern,2040,0.299
Africa_Southern,2045,0.392
Africa_Southern,2050,0.515
Africa_Southern,2055,0.526
Africa_Southern,2060,0.488
Africa_Southern,2065,0.442
Africa_Southern,2070,0.386
Africa_Southern,2075,0.322
Africa_Southern,2080,0.246
Africa_Southern,2085,0.176
Africa_Southern,2090,0.117
Africa_Southern,2095,0.051
Africa_Southern,2100,0.001
Africa_Western,2015,0.157
Africa_Western,2020,0.179
Africa_Western,2025,0.221
Africa_Western,2030,0.272
Africa_Western,2035,0.354
Africa_Western,2040,0.479
Africa_Western,2045,0.533
Africa_Western,2050,0.496
Africa_Western,2055,0.449
Africa_Western,2060,0.391
Africa_Western,2065,0.323
Africa_Western,2070,0.243
Africa_Western,2075,0.17
Africa_Western,2080,0.107
Africa_Western,2085,0.04
Africa_Western,2090,-0.014
Africa_Western,2095,-0.061
Africa_Western,2100,-0.093
Argentina,2015,0.287
Argentina,2020,0.302
Argentina,2025,0.242
Argentina,2030,0.188
Argentina,2035,0.15
Argentina,2040,0.113
Argentina,2045,0.075
Argentina,2050,0.04
Argentina,2055,0.012
Argentina,2060,-0.017
Argentina,2065,-0.048
Argentina,2070,-0.065
Argentina,2075,-0.082
Argentina,2080,-0.099
Argentina,2085,-0.1
Argentina,2090,-0.1
Argentina,2095,-0.1
Argentina,2100,-0.1
Australia_NZ,2015,-0.1
Australia_NZ,2020,-0.1
Australia_NZ,2025,-0.1
Australia_NZ,2030,-0.1
Australia_NZ,2035,-0.1
Australia_NZ,2040,-0.1
Australia_NZ,2045,-0.1
Australia_NZ,2050,-0.1
Australia_NZ,2055,-0.1
Australia_NZ,2060,-0.1
Australia_NZ,2065,-0.1
Australia_NZ,2070,-0.1
Australia_NZ,2075,-0.1
Australia_NZ,2080,-0.1
Australia_NZ,2085,-0.1
Australia_NZ,2090,-0.1
Australia_NZ,2095,-0.1
Australia_NZ,2100,-0.1
Brazil,2015,0.333
Brazil,2020,0.315
Brazil,2025,0.261
Brazil,2030,0.211
Brazil,2035,0.178
Brazil,2040,0.147
Brazil,2045,0.115
Brazil,2050,0.081
Brazil,2055,0.046
Brazil,2060,0.019
Brazil,2065,-0.009
Brazil,2070,-0.04
Brazil,2075,-0.062
Brazil,2080,-0.08
Brazil,2085,-0.099
Brazil,2090,-0.1
Brazil,2095,-0.1
Brazil,2100,-0.1
Canada,2015,-1.2
Canada,2020,-0.1
Canada,2025,-0.1
Canada,2030,-0.1
Canada,2035,-0.1
Canada,2040,-0.1
Canada,2045,-0.1
Canada,2050,-0.1
Canada,2055,-0.1
Canada,2060,-0.1
