# File: A326.inc_elas_parameter.csv
# Title: Aluminium demand income elasticity as a function of  per capita steel=aexp(b/per-capita gdp)
# Units: pcgdp_90thousUSD: Thousand 1990$; inc_elas:unitless (% change in service demand / % change in income)
# Column types: cnnn
# ----------
region,a,b,m
Africa_Eastern,30,-5882,0.005
Africa_Northern,30,-5882,0.005
Africa_Southern,30,-104.2,0.005
Africa_Western,30,-5882,0.005
Argentina,30,-5882,0.005
Australia_NZ,30,-5882,0.005
Brazil,30,-5882,0.005
Canada,30,-5882,0.005
Central America and Caribbean,30,-5882,0.005
Central Asia,30,-5882,0.005
China,30,-5882,0.005
Colombia,30,-5882,0.005
India,30,-5882,0.005
Indonesia,30,-5882,0.005
Japan,30,-5882,0.005
Mexico,30,-5882,0.005
Middle East,30,-5882,0.005
Pakistan,30,-5882,0.005
Russia,30,-5882,0.005
South Africa,30,-5882,0.005
South America_Northern,30,-5882,0.005
South America_Southern,30,-5882,0.005
South Asia,30,-5882,0.005
South Korea,30,-5882,0.005
Southeast Asia,30,-5882,0.005
Taiwan,30,-5882,0.005
USA,30,-5882,0.005
Bulgaria,30,-5882,0.005
Cyprus,30,-5882,0.005
Czech Republic,30,-5882,0.005
Estonia,30,-5882,0.005
Hungary,30,-5882,0.005
Lithuania,30,-5882,0.005
Latvia,30,-5882,0.005
Malta,30,-5882,0.005
Poland,30,-5882,0.005
Romania,30,-5882,0.005
Iceland,30,-5882,0.005
Slovakia,30,-5882,0.005
Slovenia,30,-5882,0.005
Spain,30,-5882,0.005
Austria,30,-5882,0.005
Belgium,30,-5882,0.005
Germany,30,-5882,0.005
Denmark,30,-5882,0.005
UK,30,-5882,0.005
Finland,30,-5882,0.005
France,30,-5882,0.005
Greece,30,-5882,0.005
Ireland,30,-5882,0.005
Italy,30,-5882,0.005
Luxembourg,30,-5882,0.005
Netherlands,30,-5882,0.005
Portugal,30,-5882,0.005
Sweden,30,-5882,0.005
Belarus,30,-5882,0.005
Moldova,30,-5882,0.005
Ukraine,30,-5882,0.005
Albania,30,-5882,0.005
Bosnia and Herzegovina,30,-5882,0.005
Croatia,30,-5882,0.005
Macedonia,30,-5882,0.005
Serbia and Montenegro,30,-5882,0.005
Turkey,30,-5882,0.005
Norway,30,-5882,0.005
Switzerland,30,-5882,0.005
