# File: Base_pcGDP_PPP.csv
# Title: Base Year per capita GDP PPP
# Units: Thous90US$/per
# Source: Base Year per capita GDP PPPn
# Column types: ccnn 
# ----------
Units,region,year,value
Thous90US$/per,Africa_Eastern,1975,0.600376
Thous90US$/per,Africa_Eastern,1990,0.614396
Thous90US$/per,Africa_Eastern,2005,0.736522
Thous90US$/per,Africa_Eastern,2010,0.892908
Thous90US$/per,Africa_Eastern,2015,0.989957
Thous90US$/per,Africa_Northern,1975,2.2468
Thous90US$/per,Africa_Northern,1990,3.42475
Thous90US$/per,Africa_Northern,2005,4.30266
Thous90US$/per,Africa_Northern,2010,4.95512
Thous90US$/per,Africa_Northern,2015,4.8673
Thous90US$/per,Africa_Southern,1975,0.835221
Thous90US$/per,Africa_Southern,1990,0.798656
Thous90US$/per,Africa_Southern,2005,1.01411
Thous90US$/per,Africa_Southern,2010,1.34213
Thous90US$/per,Africa_Southern,2015,1.5058
Thous90US$/per,Africa_Western,1975,1.0941
Thous90US$/per,Africa_Western,1990,0.890946
Thous90US$/per,Africa_Western,2005,1.03451
Thous90US$/per,Africa_Western,2010,1.20611
Thous90US$/per,Africa_Western,2015,1.33145
Thous90US$/per,Albania,1975,3.30911
Thous90US$/per,Albania,1990,5.08462
Thous90US$/per,Albania,2005,6.98958
Thous90US$/per,Albania,2010,7.77664
Thous90US$/per,Albania,2015,9.91668
Thous90US$/per,Argentina,1975,9.08996
Thous90US$/per,Argentina,1990,6.7952
Thous90US$/per,Argentina,2005,9.77973
Thous90US$/per,Argentina,2010,11.8101
Thous90US$/per,Argentina,2015,12.0644
Thous90US$/per,Australia_NZ,1975,13.3871
Thous90US$/per,Australia_NZ,1990,17.8406
Thous90US$/per,Australia_NZ,2005,24.288
Thous90US$/per,Australia_NZ,2010,25.4297
Thous90US$/per,Australia_NZ,2015,27.1342
Thous90US$/per,Austria,1975,11.7659
Thous90US$/per,Austria,1990,17.4541
Thous90US$/per,Austria,2005,22.4657
Thous90US$/per,Austria,2010,22.7218
Thous90US$/per,Austria,2015,23.4664
