# File: GCAMFAOSTAT_GDP.csv
# Title: FAO real and nominal GDP since 1970
# Units: 2015 million USD or nominal million USD
# Description:  Data is preprocessed and generated by gcamfaostat.
# Data source: FAOSTAT (main domain:MK FAO.udpate:2024-06-12T00:00:00)
# Date of CSV last update: 2024-07-24
# Column types: iicicccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,item_code,item,element_code,element,unit,area,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,22008,Gross Domestic Product,6110,Value US$,million USD,Armenia,917.8939688,964.8335553,1092.371425,1308.347564,1305.839373,1452.771264,1458.18993,1563.840785,1779.270916,1909.469209,1990.840557,1920.584622,2033.006429,2103.106766,1987.08441,1935.945895,1802.793023,1695.293562,1659.942664,1656.270474,3976.464456,2101.656351,1251.976343,1168.728174,1257.275245,1372.097033,1703.037605,1747.514993,2017.852886,1968.057835,2038.534803,2259.108208,2534.163311,2993.550393,3814.176694,5225.97185,6808.524718,9817.806812,12436.66419,9222.356746,9875.377779,10815.77761,10619.32069,11121.46443,11609.51324,10553.33753,10546.13624,11527.45871,12457.94071,13619.29055,12641.69859,13878.91758,19513.64576,24290.32478
1,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Armenia,1656.951558,1743.257072,1792.411206,1930.728652,2023.321323,2076.476375,2204.505747,2318.246126,2436.558983,2518.29202,2641.748914,2781.781039,2994.401246,3133.861812,3260.748064,3306.47284,3357.341653,3427.071936,3605.398561,3850.59767,9922.430449,5076.491543,2956.732211,2696.219466,2839.851925,3035.551447,3214.65153,3321.410346,3565.209041,3681.264873,3898.298463,4270.847611,4913.626562,5603.539154,6190.108564,7048.413919,7978.662223,9075.664823,9706.21267,8332.78468,8517.364959,8913.487105,9552.160865,9863.3459,10222.58229,10553.33753,10571.47264,11367.42295,11958.81198,12871.30375,11949.87958,12642.52751,14238.6261,15021.75053
2,22008,Gross Domestic Product,6110,Value US$,million USD,Afghanistan,1748.886597,1831.108982,1595.555482,1733.333275,2155.5555,2366.666613,2555.555571,2953.333408,3300.000103,3697.940356,3641.723443,3478.787916,3438.884594,3399.439011,3360.445864,3321.900002,3320.599991,2887.499993,2664.299991,3342.200002,3621.600007,3340.100005,3474.600007,2664.399992,2114.6,3236.3,3124.359411,3016.290743,2911.960069,2719.992175,3531.869351,3620.52525,4285.191376,4898.791114,5504.073142,6474.979835,7292.892929,9999.336197,10296.14649,11931.60036,15144.56966,17923.10025,19794.40586,19904.40934,19500.46092,18699.5737,18224.34978,19034.30282,18856.31931,19372.35844,19983.00821,15160.92056,14174.9944,
2,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Afghanistan,10576.15944,10546.99996,8817.163363,9072.494885,9567.219858,10160.88983,10716.50403,10176.11213,10929.61632,10648.00365,10252.22367,10472.94712,10686.05941,11211.229,11416.73014,11447.17476,11789.67666,10579.50326,9704.22062,9019.216811,8737.604135,7782.530111,7908.17898,5933.907017,4612.948016,6916.405187,6551.889478,6215.059222,5932.974168,5645.026267,5334.356981,5031.596019,8302.001638,8918.205513,9059.112101,9881.952167,10706.91229,13522.1613,12531.25038,14580.34693,14940.07925,16116.08323,17744.3959,18752.79717,19183.49062,18699.5737,19220.88182,19559.50575,19911.5329,22050.30824,21595.86337,17117.12495,16048.98179,16379.58254
3,22008,Gross Domestic Product,6110,Value US$,million USD,Albania,2265.577056,2330.58486,2397.526448,2466.543461,2537.015817,2610.110369,2685.745678,2760.746397,2842.275926,2372.305641,2141.837051,2215.474766,2280.424885,2305.384485,2275.736342,2324.414456,2397.086883,2378.19481,2460.399974,2940.586487,2145.751209,1597.139589,1516.132824,1700.439125,1880.950821,2392.764887,3199.642024,2224.654241,2554.868837,3221.670165,3487.586302,3926.887597,4355.865889,5561.459461,7177.030365,8052.079314,8896.076004,10677.32222,12881.35206,12044.21039,11926.94828,12890.87332,12319.7796,12776.28074,13228.24008,11386.92485,11861.35645,13019.72986,15156.43997,15401.82608,15162.73447,17930.56704,18916.38069,22430.76897
3,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Albania,3233.191492,3362.545562,3497.515091,3638.042104,3782.495817,3935.808181,4094.417885,4251.197415,4434.070387,4609.664053,4758.616055,5032.026224,5180.403205,5237.643462,5172.088977,5264.185034,5558.70055,5514.890967,5436.545363,5971.533916,5376.107326,3870.682161,3592.49187,3935.912988,4262.706641,4830.598547,5175.420824,4610.047443,5017.084299,5663.822656,6057.248138,6559.593194,6857.173801,7236.281339,7635.348257,8057.313563,8532.902682,9043.447907,9721.71432,10047.80776,10420.26958,10685.51077,10836.94912,10945.53446,11139.76151,11386.92485,11764.40093,12211.70348,12702.53464,12967.71311,12516.22593,13656.60664,14319.82948,14642.02565
4,22008,Gross Domestic Product,6110,Value US$,million USD,Algeria,5155.120658,5363.67616,7176.428384,9229.6222,13259.76465,15555.54708,17750.03249,20990.93914,26373.76139,33201.43301,42252.19774,44264.57312,45094.84277,48702.20186,52827.90226,57866.20728,62922.80387,64333.57832,58655.41918,55344.47694,61751.37596,46565.0032,49105.5536,50846.93034,42330.71115,41971.48842,46836.2905,48068.45703,48079.00797,48531.03176,54666.89686,55056.73306,56819.21089,67863.85163,85332.51782,103198.2161,117027.2779,134977.0884,171000.6921,137211.0084,161207.3063,200019.103,209059.0831,209755.0033,213809.9795,165979.1182,160034.208,170096.9872,174910.8946,171760.2898,145743.7228,163472.6471,191912.8894,209826.1346
4,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Algeria,34858.47155,31538.99618,38556.86066,40222.96664,41738.62158,44170.5154,46904.10735,51318.92999,56540.13836,60768.11184,61248.54877,63086.00284,67123.50962,70748.18117,74710.07686,77474.34765,77784.24582,77239.75802,76467.3562,79831.92152,80470.57736,79504.92996,80936.02053,79236.36348,78523.23895,81507.11793,84848.90852,85782.24646,90157.14413,93042.17414,96577.77676,99475.11006,105045.7162,112609.0078,117451.1951,124380.8156,126495.2895,130796.1293,133935.2365,136078.2002,140977.0154,145065.3489,149997.5708,154197.5037,160057.0088,165979.1182,171290.4499,173517.2258,175599.4325,177355.4268,168310.3001,174032.8503,179427.8686,184157.5872
6,22008,Gross Domestic Product,6110,Value US$,million USD,Andorra,99.476787,113.128492,143.506004,190.863792,236.055468,278.514317,287.588366,321.390137,389.745929,520.742333,564.812657,492.189978,475.654368,414.836776,417.649689,438.742504,609.88194,773.493497,912.838474,1006.552718,1302.006184,1400.576915,1531.034035,1274.297409,1287.524766,1491.495988,1548.787643,1493.901088,1533.515782,1568.801032,1429.044662,1546.913267,1755.992896,2361.635625,2895.042252,3159.831266,3456.261316,3952.395237,4085.783663,3674.186277,3446.565601,3624.386229,3188.830334,3192.603086,3267.334446,2788.757749,2894.646184,3000.160225,3218.419456,3155.151912,2890.997547,3324.641933,3376.020146,3674.13301
6,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Andorra,895.861293,937.514127,1013.919146,1092.887886,1154.294916,1160.553541,1198.89581,1232.927359,1250.965128,1251.48486,1279.126758,1277.432317,1293.355021,1316.248903,1339.739833,1370.841033,1415.438902,1493.955034,1570.061947,1645.849313,1708.085351,1751.573213,1767.849102,1749.613884,1791.3106,1840.705883,1889.678314,2061.028199,2126.873685,2214.05597,2239.867151,2421.727778,2531.830698,2751.949965,2975.838041,3136.464407,3287.291041,3338.351233,3152.762962,2985.58127,2926.615166,2926.373176,2780.809045,2682.153507,2749.324401,2788.757749,2892.210741,2902.219066,2948.332113,3007.75129,2671.373136,2892.744416,3169.418677,3210.62112
7,22008,Gross Domestic Product,6110,Value US$,million USD,Angola,3807.845629,4008.354404,4103.085021,5017.414098,5628.237036,4148.373898,3981.809822,4345.210241,4846.580654,5381.37576,7152.884551,6684.938833,6684.938833,6985.76108,7386.85741,9124.941507,8556.721706,9860.284778,10629.05274,12367.13684,13670.69991,16189.23742,18586.67551,13467.95314,13860.72419,6642.229111,8725.773846,10226.79066,8617.787793,8227.190091,12207.35457,11948.60124,15285.59249,17812.70463,23552.04585,36970.87808,52381.02511,65266.41571,88538.66489,70307.19322,83799.47893,111789.746,128052.9134,136709.8919,145712.1753,116193.6488,101123.8274,122123.858,101353.2112,83136.74248,54821.0798,69905.71408,113304.6506,84327.88129
7,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Angola,26647.7597,28246.62528,28303.11853,30595.67113,31544.13694,29966.93009,28408.64973,28635.91892,27118.21522,27199.56987,27852.35954,26626.85538,26626.85538,27745.18369,29409.89531,30439.2415,31406.04243,33604.58349,35477.32505,35614.79064,35456.4327,35807.93334,33717.36567,25630.78911,25974.07854,29870.19032,33915.91934,36383.05738,38089.83988,38920.76583,40109.64897,41369.09195,47380.02101,48796.61161,54141.34861,62278.35934,69532.51471,79273.55452,88124.00957,88880.59955,93199.49777,96435.36599,104673.017,109859.1364,115157.2337,116193.6488,113172.6139,113059.4413,111589.6685,110808.5409,104560.8927,105815.6235,108990.0922,112793.8464
