# File: gcam_macro_TFP_open.csv
# Title: GCAM output of total factor productivity used as initial input
# Units: unitless
# Description: TODO: describe process to update
# Column types: ccinc
# ----------
scenario,region,year,productivity,gcam.version
CORE,Africa_Eastern,1975,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,1990,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2005,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2010,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2015,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2021,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2025,1.0275,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2030,1.23221,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2035,1.47915,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2040,1.67423,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2045,1.83393,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2050,1.96067,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2055,2.09255,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2060,2.24533,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2065,2.43159,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2070,2.64788,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2075,2.89816,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2080,3.18333,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2085,3.50904,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2090,3.88484,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2095,4.31742,gcam-v8.2-40-gb9796198d
CORE,Africa_Eastern,2100,4.81032,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,1975,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,1990,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2005,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2010,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2015,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2021,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2025,1.0771,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2030,1.39949,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2035,1.68065,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2040,1.89025,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2045,2.03856,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2050,2.08468,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2055,2.12137,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2060,2.17585,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2065,2.2139,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2070,2.25264,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2075,2.31973,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2080,2.42509,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2085,2.57013,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2090,2.73252,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2095,2.91056,gcam-v8.2-40-gb9796198d
CORE,Africa_Northern,2100,3.10555,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,1975,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,1990,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2005,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2010,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2015,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2021,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2025,1.00654,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2030,1.16718,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2035,1.33192,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2040,1.48275,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2045,1.6286,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2050,1.75378,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2055,1.87048,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2060,2.01544,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2065,2.15854,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2070,2.30638,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2075,2.46896,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2080,2.64844,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2085,2.84854,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2090,3.0701,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2095,3.32046,gcam-v8.2-40-gb9796198d
CORE,Africa_Southern,2100,3.60659,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,1975,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,1990,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2005,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2010,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2015,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2021,0,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2025,1.04199,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2030,1.15395,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2035,1.29357,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2040,1.41575,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2045,1.51945,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2050,1.59932,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2055,1.67421,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2060,1.75756,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2065,1.84339,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2070,1.9389,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2075,2.04886,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2080,2.1807,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2085,2.33143,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2090,2.4969,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2095,2.68649,gcam-v8.2-40-gb9796198d
CORE,Africa_Western,2100,2.90373,gcam-v8.2-40-gb9796198d
